obstereo	obEZ	Structure of obSMILES [idcode]	obSMILES	obInChi	obInChiKey	dwSmiles	diff_smiles	dwInChI	diff_InChi	dwInChI-Key	diff_InChiKey	
0	0	fa{aB@M]AHYEEDhddeEdcEfRLEt\e``@@@@Bh@@@	Fc1c(c2cnccc2)cc2c(c1)c1c(cc2)c(cc(c1)C)CO	InChI=1S/C21H16FNO/c1-13-7-16(12-24)17-5-4-14-9-19(15-3-2-6-23-11-15)21(22)10-18(14)20(17)8-13/h2-11,24H,12H2,1H3	GOZZYYZFELYVCF-UHFFFAOYSA-N	Cc1cc2c(cc(c(-c3cnccc3)c3)F)c3ccc2c(CO)c1	0	InChI=1S/C21H16FNO/c1-13-7-16(12-24)17-5-4-14-9-19(15-3-2-6-23-11-15)21(22)10-18(14)20(17)8-13/h2-11,24H,12H2,1H3	1	GOZZYYZFELYVCF-UHFFFAOYSA-N	1	
1	0	fe{aH@F`PqSdeGOHihhllhhdiiYhJP\mA@TDECTpPk@@	O=C(O)c1c(O)ccc(c1)Oc1c(OC(=O)[C@@H](N)C(=O)O)c(O)ccc1	InChI=1S/C16H13NO9/c17-12(15(22)23)16(24)26-13-10(19)2-1-3-11(13)25-7-4-5-9(18)8(6-7)14(20)21/h1-6,12,18-19H,17H2,(H,20,21)(H,22,23)/t12-/m0/s1	MPDUICJDGVBUOC-LBPRGKRZSA-N	N[C@@H](C(O)=O)C(Oc(c(O)ccc1)c1Oc(cc1)cc(C(O)=O)c1O)=O	0	InChI=1S/C16H13NO9/c17-12(15(22)23)16(24)26-13-10(19)2-1-3-11(13)25-7-4-5-9(18)8(6-7)14(20)21/h1-6,12,18-19H,17H2,(H,20,21)(H,22,23)/t12-/m0/s1	1	MPDUICJDGVBUOC-LBPRGKRZSA-N	1	
4	0	e`RPBH@ANao`ICHhdhThhdiddeDbhcPpyDDduL\}@AUSMTPLUUDBQIKEEEh@@	Fc1cc(ccc1)CO[C@H]1C2=CCc3c([C@@H]2[C@@H](C=C1)C(=O)O)cc1c(c3)CC(=C[C@H]1C)O	InChI=1S/C27H25FO4/c1-15-9-20(29)12-18-11-17-5-6-21-25(32-14-16-3-2-4-19(28)10-16)8-7-22(27(30)31)26(21)24(17)13-23(15)18/h2-4,6-11,13,15,22,25-26,29H,5,12,14H2,1H3,(H,30,31)/t15-,22-,25-,26+/m1/s1	YTPWVQDTGTVMRV-VZIZNLJJSA-N	C[C@H]1c2cc([C@H]([C@@H](C=C[C@H]3OCc4cccc(F)c4)C(O)=O)C3=CC3)c3cc2CC(O)=C1	0	InChI=1S/C27H25FO4/c1-15-9-20(29)12-18-11-17-5-6-21-25(32-14-16-3-2-4-19(28)10-16)8-7-22(27(30)31)26(21)24(17)13-23(15)18/h2-4,6-11,13,15,22,25-26,29H,5,12,14H2,1H3,(H,30,31)/t15-,22+,25-,26+/m1/s1	0	YTPWVQDTGTVMRV-BJSGNXIRSA-N	0	
1	0	e`TPE@@@DFMOEmcgodfyfwyfuefyaEHlikf``b```hahXBAI@@	O=C(O)c1c(O)cc(c(c1C)O)c1c(O)cc2c(c1[C@H](C(=O)O)C)c(C(=O)O)ccc2O	InChI=1S/C22H18O10/c1-7-15(22(31)32)13(24)6-11(19(7)26)18-14(25)5-10-12(23)4-3-9(21(29)30)17(10)16(18)8(2)20(27)28/h3-6,8,23-26H,1-2H3,(H,27,28)(H,29,30)(H,31,32)/t8-/m1/s1	OHHJVMXSFFJRKW-MRVPVSSYSA-N	C[C@@H](C(O)=O)c(c1c(cc2)C(O)=O)c(-c3cc(O)c(C(O)=O)c(C)c3O)c(O)cc1c2O	0	InChI=1S/C22H18O10/c1-7-15(22(31)32)13(24)6-11(19(7)26)18-14(25)5-10-12(23)4-3-9(21(29)30)17(10)16(18)8(2)20(27)28/h3-6,8,23-26H,1-2H3,(H,27,28)(H,29,30)(H,31,32)/t8-/m1/s1	1	OHHJVMXSFFJRKW-MRVPVSSYSA-N	1	
1	0	fmwAb@EIZBHrJIJIIJIIJIKUJcMFcVZjBBjfjj`XDP@	ClC1=C[C@H](c2c(C1)cc(c1c2CC(=CC1)O)CC)COC(=O)CCCCC	InChI=1S/C23H29ClO3/c1-3-5-6-7-22(26)27-14-17-12-18(24)11-16-10-15(4-2)20-9-8-19(25)13-21(20)23(16)17/h8,10,12,17,25H,3-7,9,11,13-14H2,1-2H3/t17-/m0/s1	XGHHWDPBDMNBON-KRWDZBQOSA-N	CCCCCC(OC[C@H](C=C(C1)Cl)c2c1cc(CC)c1c2CC(O)=CC1)=O	0	InChI=1S/C23H29ClO3/c1-3-5-6-7-22(26)27-14-17-12-18(24)11-16-10-15(4-2)20-9-8-19(25)13-21(20)23(16)17/h8,10,12,17,25H,3-7,9,11,13-14H2,1-2H3/t17-/m0/s1	1	XGHHWDPBDMNBON-KRWDZBQOSA-N	1	
0	0	feoQ`@BM@`vQSQJJIQIPiIJKdkA|flv}Z@@B@@`f@B@@	O=C(O)c1nc2c(c3c1c(O)cc1c3cccc1)cc1c(c2)c(c[nH]1)C	InChI=1S/C21H14N2O3/c1-10-9-22-15-8-14-16(7-13(10)15)23-20(21(25)26)19-17(24)6-11-4-2-3-5-12(11)18(14)19/h2-9,22,24H,1H3,(H,25,26)	KUQRMCYFKPSBNF-UHFFFAOYSA-N	Cc1c[nH]c(cc2c3c(cccc4)c4c4)c1cc2nc(C(O)=O)c3c4O	0	InChI=1S/C21H14N2O3/c1-10-9-22-15-8-14-16(7-13(10)15)23-20(21(25)26)19-17(24)6-11-4-2-3-5-12(11)18(14)19/h2-9,22,24H,1H3,(H,25,26)	1	KUQRMCYFKPSBNF-UHFFFAOYSA-N	1	
0	2	fko`r@NddjsU`dLbbbfTqTRfrbbaTxKhxH`ZZfijZh`Hu^`	Fc1c(O)cc(cc1C(=O)O)/C=C(/OC)\C(=C\Cc1c(O)[nH]c(c1C(C)C)O)\C	InChI=1S/C21H24FNO6/c1-10(2)17-13(19(25)23-20(17)26)6-5-11(3)16(29-4)9-12-7-14(21(27)28)18(22)15(24)8-12/h5,7-10,23-26H,6H2,1-4H3,(H,27,28)/b11-5+,16-9+	JVNSRVMTOIWCPI-IKSLRBFFSA-N	CC(C)c(c(C/C=C(\C)/C(/OC)=C\c(cc1C(O)=O)cc(O)c1F)c([nH]1)O)c1O	0	InChI=1S/C21H24FNO6/c1-10(2)17-13(19(25)23-20(17)26)6-5-11(3)16(29-4)9-12-7-14(21(27)28)18(22)15(24)8-12/h5,7-10,23-26H,6H2,1-4H3,(H,27,28)	0	JVNSRVMTOIWCPI-UHFFFAOYSA-N	0	
1	0	ehRXJ@@F@DKC`\bfbbbTRTRtRTrQbnDtRzZvV^ZBB`h@@B@hd@`F`@	O=C(O)c1c(Nc2ccccc2)c2c(c(c1Cc1ccccc1)O)c(ccc2)[C@@H](O)CC=O	InChI=1S/C27H23NO5/c29-15-14-22(30)19-12-7-13-20-23(19)26(31)21(16-17-8-3-1-4-9-17)24(27(32)33)25(20)28-18-10-5-2-6-11-18/h1-13,15,22,28,30-31H,14,16H2,(H,32,33)/t22-/m0/s1	UKEFNRQGRJSQCF-QFIPXVFZSA-N	O[C@@H](CC=O)c(cccc12)c2c(O)c(Cc2ccccc2)c(C(O)=O)c1Nc1ccccc1	0	InChI=1S/C27H23NO5/c29-15-14-22(30)19-12-7-13-20-23(19)26(31)21(16-17-8-3-1-4-9-17)24(27(32)33)25(20)28-18-10-5-2-6-11-18/h1-13,15,22,28,30-31H,14,16H2,(H,32,33)/t22-/m0/s1	1	UKEFNRQGRJSQCF-QFIPXVFZSA-N	1	
3	0	eohXB@@D@NIBlbbTTTVtTRRbTTNUrfZvn^ZjYjBhJ`J@Hppfb|P@	O=C(NC(=O)CCc1ccccc1)[C@@H](C(=O)c1cc(ccc1)C)C[C@@H]1[C@H](O)CCCC1	InChI=1S/C26H31NO4/c1-18-8-7-12-21(16-18)25(30)22(17-20-11-5-6-13-23(20)28)26(31)27-24(29)15-14-19-9-3-2-4-10-19/h2-4,7-10,12,16,20,22-23,28H,5-6,11,13-15,17H2,1H3,(H,27,29,31)/t20-,22-,23-/m1/s1	XCBUTYUNTOPPOZ-YMPZKCBVSA-N	Cc1cccc(C([C@@H](C[C@@H](CCCC2)[C@@H]2O)C(NC(CCc2ccccc2)=O)=O)=O)c1	0	InChI=1S/C26H31NO4/c1-18-8-7-12-21(16-18)25(30)22(17-20-11-5-6-13-23(20)28)26(31)27-24(29)15-14-19-9-3-2-4-10-19/h2-4,7-10,12,16,20,22-23,28H,5-6,11,13-15,17H2,1H3,(H,27,29,31)/t20-,22-,23-/m1/s1	1	XCBUTYUNTOPPOZ-YMPZKCBVSA-N	1	
0	0	eb^\JD@LIDhDAO@`@`pHrRPjJIYSRJHqJYHpiKZNEC[W@pkTCA@m@DPP@T@@@@	S(=O)(=O)(NC(=O)NS(=O)(=O)c1cc2c(cc1)ccc(c2)CC)c1cc2c(NCC)c(ccc2cc1)C	InChI=1S/C26H27N3O5S2/c1-4-18-7-9-19-10-12-22(15-21(19)14-18)35(31,32)28-26(30)29-36(33,34)23-13-11-20-8-6-17(3)25(27-5-2)24(20)16-23/h6-16,27H,4-5H2,1-3H3,(H2,28,29,30)	QQCSSGIDXJNLFK-UHFFFAOYSA-N	CCc1ccc(ccc(S(NC(NS(c(ccc2ccc3C)cc2c3NCC)(=O)=O)=O)(=O)=O)c2)c2c1	0	InChI=1S/C26H27N3O5S2/c1-4-18-7-9-19-10-12-22(15-21(19)14-18)35(31,32)28-26(30)29-36(33,34)23-13-11-20-8-6-17(3)25(27-5-2)24(20)16-23/h6-16,27H,4-5H2,1-3H3,(H2,28,29,30)	1	QQCSSGIDXJNLFK-UHFFFAOYSA-N	1	
1	0	fjcQ`@DF@hnQQJJIQJJkPtykqkQS@DUTDAPqAb@@	Oc1nc2c(c3c1[C@H](O)C=CC3)[nH]c1c2cccc1CO	InChI=1S/C16H14N2O3/c19-7-8-3-1-5-10-13(8)17-14-9-4-2-6-11(20)12(9)16(21)18-15(10)14/h1-3,5-6,11,17,19-20H,4,7H2,(H,18,21)/t11-/m1/s1	UITJGVKHKFLDMK-LLVKDONJSA-N	OCc1cccc2c1[nH]c(c(CC=C1)c3[C@@H]1O)c2nc3O	0	InChI=1S/C16H14N2O3/c19-7-8-3-1-5-10-13(8)17-14-9-4-2-6-11(20)12(9)16(21)18-15(10)14/h1-3,5-6,11,17,19-20H,4,7H2,(H,18,21)/t11-/m1/s1	1	UITJGVKHKFLDMK-LLVKDONJSA-N	1	
3	0	fnc@p@@HExN\bbRfbfTtRLrRVkVjjj`XHh\DSEr@@	O=C(O[C@H]([C@H](O)CC(=O)O)[C@@H](c1cc2occc2cc1)C)CC	InChI=1S/C17H20O6/c1-3-16(21)23-17(13(18)9-15(19)20)10(2)12-5-4-11-6-7-22-14(11)8-12/h4-8,10,13,17-18H,3,9H2,1-2H3,(H,19,20)/t10-,13-,17+/m1/s1	DOMFXGVFFVUTMC-JUKMUDQWSA-N	CCC(O[C@@H]([C@H](C)c1cc([o]cc2)c2cc1)[C@@H](CC(O)=O)O)=O	0	InChI=1S/C17H20O6/c1-3-16(21)23-17(13(18)9-15(19)20)10(2)12-5-4-11-6-7-22-14(11)8-12/h4-8,10,13,17-18H,3,9H2,1-2H3,(H,19,20)/t10-,13-,17+/m1/s1	1	DOMFXGVFFVUTMC-JUKMUDQWSA-N	1	
0	1	fa{QA@DDTBH{HYEDhddbeEDhbj\eiNZm`@@bZB`HDA@r@	Clc1nnc(c2c1ccc(c2)/C=C/1\c2c(C=CC1)ccc(c2)F)O	InChI=1S/C19H12ClFN2O/c20-18-15-7-4-11(9-17(15)19(24)23-22-18)8-13-3-1-2-12-5-6-14(21)10-16(12)13/h1-2,4-10H,3H2,(H,23,24)/b13-8-	LYLHUTOXRUMRMG-JYRVWZFOSA-N	Oc(c1cc(/C=C2\c(cc(cc3)F)c3C=CC2)ccc11)nnc1Cl	0	InChI=1S/C19H12ClFN2O/c20-18-15-7-4-11(9-17(15)19(24)23-22-18)8-13-3-1-2-12-5-6-14(21)10-16(12)13/h1-2,4-10H,3H2,(H,23,24)	0	LYLHUTOXRUMRMG-UHFFFAOYSA-N	0	
1	2	fisQR@O]TxmV`bLbbbRRfRTVRbaEjhDJJfiZXaAHhnP	Cl[C@H](c1cc(OCC(=O)OC)c(cc1)O)/C=C\C/C(=N\C(=N)O)/C=C	InChI=1S/C17H19ClN2O5/c1-3-12(20-17(19)23)5-4-6-13(18)11-7-8-14(21)15(9-11)25-10-16(22)24-2/h3-4,6-9,13,21H,1,5,10H2,2H3,(H2,19,23)/b6-4-,20-12-/t13-/m0/s1	ZHFFTYGJGBPTLN-ABXYMQPESA-N	COC(COc(cc([C@H](/C=C\C/C(/C=C)=N\C(O)=N)Cl)cc1)c1O)=O	0	InChI=1S/C17H19ClN2O5/c1-3-12(20-17(19)23)5-4-6-13(18)11-7-8-14(21)15(9-11)25-10-16(22)24-2/h3-4,6-9,13,21H,1,5,10H2,2H3,(H2,19,23)/t13-/m0/s1	0	ZHFFTYGJGBPTLN-ZDUSSCGKSA-N	0	
1	0	e`TXFD@NhDIGJi`@bzPrRPsIQYJKIQQQSIRbJV^KOKPA@DUATQTPDBR@@	S(=O)(=O)(c1cc(O)c2c(c1)cc(c(c2O)c1c(NCC)c(F)ccc1O)C[C@H](O)CC)C	InChI=1S/C23H26FNO6S/c1-4-14(26)9-12-8-13-10-15(32(3,30)31)11-18(28)19(13)23(29)20(12)21-17(27)7-6-16(24)22(21)25-5-2/h6-8,10-11,14,25-29H,4-5,9H2,1-3H3/t14-/m1/s1	WBBHQIDFUQKLBN-CQSZACIVSA-N	CC[C@H](Cc1c(-c(c(O)ccc2F)c2NCC)c(O)c2c(O)cc(S(C)(=O)=O)cc2c1)O	0	InChI=1S/C23H26FNO6S/c1-4-14(26)9-12-8-13-10-15(32(3,30)31)11-18(28)19(13)23(29)20(12)21-17(27)7-6-16(24)22(21)25-5-2/h6-8,10-11,14,25-29H,4-5,9H2,1-3H3/t14-/m1/s1	1	WBBHQIDFUQKLBN-CQSZACIVSA-N	1	
1	0	fnsp`@DIZBfQQJQSQQIIIZ~KFj\mUP@pAHPTLP@	O=C(Nc1ccc(cc1)N)[C@@](O)(c1ccccc1)c1c[nH]cc1	InChI=1S/C18H17N3O2/c19-15-6-8-16(9-7-15)21-17(22)18(23,14-10-11-20-12-14)13-4-2-1-3-5-13/h1-12,20,23H,19H2,(H,21,22)/t18-/m1/s1	VOQCZXRHJNRNQL-GOSISDBHSA-N	Nc(cc1)ccc1NC([C@](c1c[nH]cc1)(c1ccccc1)O)=O	0	InChI=1S/C18H17N3O2/c19-15-6-8-16(9-7-15)21-17(22)18(23,14-10-11-20-12-14)13-4-2-1-3-5-13/h1-12,20,23H,19H2,(H,21,22)/t18-/m1/s1	1	VOQCZXRHJNRNQL-GOSISDBHSA-N	1	
0	0	flyAP@@H|FJSJoLj|fluU@PTt@@@	O=C(OCC)CCc1c(ccc(c1)OC)CC(=O)O	InChI=1S/C14H18O5/c1-3-19-14(17)7-5-10-8-12(18-2)6-4-11(10)9-13(15)16/h4,6,8H,3,5,7,9H2,1-2H3,(H,15,16)	ZACAMVQEPQQICY-UHFFFAOYSA-N	CCOC(CCc1c(CC(O)=O)ccc(OC)c1)=O	0	InChI=1S/C14H18O5/c1-3-19-14(17)7-5-10-8-12(18-2)6-4-11(10)9-13(15)16/h4,6,8H,3,5,7,9H2,1-2H3,(H,15,16)	1	ZACAMVQEPQQICY-UHFFFAOYSA-N	1	
1	0	fj}a@@H`RUfUe^uqJu[tVfjZHHjHar@@	O=CCC1=C2C=CCC[C@@H]2c2c(C1)c(c(nc2)CC)CC	InChI=1S/C19H23NO/c1-3-14-17-11-13(9-10-21)15-7-5-6-8-16(15)18(17)12-20-19(14)4-2/h5,7,10,12,16H,3-4,6,8-9,11H2,1-2H3/t16-/m0/s1	DVJQBAGKPIAHGU-INIZCTEOSA-N	CCc1c(CC)ncc2c1CC(CC=O)=C1C=CCC[C@@H]12	0	InChI=1S/C19H23NO/c1-3-14-17-11-13(9-10-21)15-7-5-6-8-16(15)18(17)12-20-19(14)4-2/h5,7,10,12,16H,3-4,6,8-9,11H2,1-2H3/t16-/m0/s1	1	DVJQBAGKPIAHGU-INIZCTEOSA-N	1	
0	1	ec`\D@@BKO@CDfUU]me[UUhXdTRrZzVv`@@JX@Jjj@TB@q@	Oc1cnc2c(c1)ccc(c2)/C(=N\c1nc2c(cc1)CC1=C(C2)CC=CC1)/O	InChI=1S/C23H19N3O2/c27-19-10-17-5-6-18(12-20(17)24-13-19)23(28)26-22-8-7-16-9-14-3-1-2-4-15(14)11-21(16)25-22/h1-2,5-8,10,12-13,27H,3-4,9,11H2,(H,25,26,28)	CINRRLDMNFJYTL-UHFFFAOYSA-N	O/C(/c1ccc(cc(cn2)O)c2c1)=N/c1nc(CC(CC=CC2)=C2C2)c2cc1	0	InChI=1S/C23H19N3O2/c27-19-10-17-5-6-18(12-20(17)24-13-19)23(28)26-22-8-7-16-9-14-3-1-2-4-15(14)11-21(16)25-22/h1-2,5-8,10,12-13,27H,3-4,9,11H2,(H,25,26,28)	1	CINRRLDMNFJYTL-UHFFFAOYSA-N	1	
0	1	ff}Q`@AY@bNQSQQQQQZiYJVc^Z@H@hij@DHh	O=C(O)c1c2c(cc(cc2C)O)ccc1NC/C=C\NCC	InChI=1S/C17H20N2O3/c1-3-18-7-4-8-19-14-6-5-12-10-13(20)9-11(2)15(12)16(14)17(21)22/h4-7,9-10,18-20H,3,8H2,1-2H3,(H,21,22)/b7-4-	JXOGUVJITRPBHZ-DAXSKMNVSA-N	CCN/C=C\CNc(ccc1c2)c(C(O)=O)c1c(C)cc2O	0	InChI=1S/C17H20N2O3/c1-3-18-7-4-8-19-14-6-5-12-10-13(20)9-11(2)15(12)16(14)17(21)22/h4-7,9-10,18-20H,3,8H2,1-2H3,(H,21,22)	0	JXOGUVJITRPBHZ-UHFFFAOYSA-N	0	
