obstereo	obEZ	obSMILES	obInChi	obInChiKey
0	0	Fc1c(c2cnccc2)cc2c(c1)c1c(cc2)c(cc(c1)C)CO	InChI=1S/C21H16FNO/c1-13-7-16(12-24)17-5-4-14-9-19(15-3-2-6-23-11-15)21(22)10-18(14)20(17)8-13/h2-11,24H,12H2,1H3	GOZZYYZFELYVCF-UHFFFAOYSA-N
1	0	O=C(O)c1c(O)ccc(c1)Oc1c(OC(=O)[C@@H](N)C(=O)O)c(O)ccc1	InChI=1S/C16H13NO9/c17-12(15(22)23)16(24)26-13-10(19)2-1-3-11(13)25-7-4-5-9(18)8(6-7)14(20)21/h1-6,12,18-19H,17H2,(H,20,21)(H,22,23)/t12-/m0/s1	MPDUICJDGVBUOC-LBPRGKRZSA-N
4	0	Fc1cc(ccc1)CO[C@H]1C2=CCc3c([C@@H]2[C@@H](C=C1)C(=O)O)cc1c(c3)CC(=C[C@H]1C)O	InChI=1S/C27H25FO4/c1-15-9-20(29)12-18-11-17-5-6-21-25(32-14-16-3-2-4-19(28)10-16)8-7-22(27(30)31)26(21)24(17)13-23(15)18/h2-4,6-11,13,15,22,25-26,29H,5,12,14H2,1H3,(H,30,31)/t15-,22-,25-,26+/m1/s1	YTPWVQDTGTVMRV-VZIZNLJJSA-N
1	0	O=C(O)c1c(O)cc(c(c1C)O)c1c(O)cc2c(c1[C@H](C(=O)O)C)c(C(=O)O)ccc2O	InChI=1S/C22H18O10/c1-7-15(22(31)32)13(24)6-11(19(7)26)18-14(25)5-10-12(23)4-3-9(21(29)30)17(10)16(18)8(2)20(27)28/h3-6,8,23-26H,1-2H3,(H,27,28)(H,29,30)(H,31,32)/t8-/m1/s1	OHHJVMXSFFJRKW-MRVPVSSYSA-N
1	0	ClC1=C[C@H](c2c(C1)cc(c1c2CC(=CC1)O)CC)COC(=O)CCCCC	InChI=1S/C23H29ClO3/c1-3-5-6-7-22(26)27-14-17-12-18(24)11-16-10-15(4-2)20-9-8-19(25)13-21(20)23(16)17/h8,10,12,17,25H,3-7,9,11,13-14H2,1-2H3/t17-/m0/s1	XGHHWDPBDMNBON-KRWDZBQOSA-N
0	0	O=C(O)c1nc2c(c3c1c(O)cc1c3cccc1)cc1c(c2)c(c[nH]1)C	InChI=1S/C21H14N2O3/c1-10-9-22-15-8-14-16(7-13(10)15)23-20(21(25)26)19-17(24)6-11-4-2-3-5-12(11)18(14)19/h2-9,22,24H,1H3,(H,25,26)	KUQRMCYFKPSBNF-UHFFFAOYSA-N
0	2	Fc1c(O)cc(cc1C(=O)O)/C=C(/OC)\C(=C\Cc1c(O)[nH]c(c1C(C)C)O)\C	InChI=1S/C21H24FNO6/c1-10(2)17-13(19(25)23-20(17)26)6-5-11(3)16(29-4)9-12-7-14(21(27)28)18(22)15(24)8-12/h5,7-10,23-26H,6H2,1-4H3,(H,27,28)/b11-5+,16-9+	JVNSRVMTOIWCPI-IKSLRBFFSA-N
1	0	O=C(O)c1c(Nc2ccccc2)c2c(c(c1Cc1ccccc1)O)c(ccc2)[C@@H](O)CC=O	InChI=1S/C27H23NO5/c29-15-14-22(30)19-12-7-13-20-23(19)26(31)21(16-17-8-3-1-4-9-17)24(27(32)33)25(20)28-18-10-5-2-6-11-18/h1-13,15,22,28,30-31H,14,16H2,(H,32,33)/t22-/m0/s1	UKEFNRQGRJSQCF-QFIPXVFZSA-N
3	0	O=C(NC(=O)CCc1ccccc1)[C@@H](C(=O)c1cc(ccc1)C)C[C@@H]1[C@H](O)CCCC1	InChI=1S/C26H31NO4/c1-18-8-7-12-21(16-18)25(30)22(17-20-11-5-6-13-23(20)28)26(31)27-24(29)15-14-19-9-3-2-4-10-19/h2-4,7-10,12,16,20,22-23,28H,5-6,11,13-15,17H2,1H3,(H,27,29,31)/t20-,22-,23-/m1/s1	XCBUTYUNTOPPOZ-YMPZKCBVSA-N
0	0	S(=O)(=O)(NC(=O)NS(=O)(=O)c1cc2c(cc1)ccc(c2)CC)c1cc2c(NCC)c(ccc2cc1)C	InChI=1S/C26H27N3O5S2/c1-4-18-7-9-19-10-12-22(15-21(19)14-18)35(31,32)28-26(30)29-36(33,34)23-13-11-20-8-6-17(3)25(27-5-2)24(20)16-23/h6-16,27H,4-5H2,1-3H3,(H2,28,29,30)	QQCSSGIDXJNLFK-UHFFFAOYSA-N
1	0	Oc1nc2c(c3c1[C@H](O)C=CC3)[nH]c1c2cccc1CO	InChI=1S/C16H14N2O3/c19-7-8-3-1-5-10-13(8)17-14-9-4-2-6-11(20)12(9)16(21)18-15(10)14/h1-3,5-6,11,17,19-20H,4,7H2,(H,18,21)/t11-/m1/s1	UITJGVKHKFLDMK-LLVKDONJSA-N
3	0	O=C(O[C@H]([C@H](O)CC(=O)O)[C@@H](c1cc2occc2cc1)C)CC	InChI=1S/C17H20O6/c1-3-16(21)23-17(13(18)9-15(19)20)10(2)12-5-4-11-6-7-22-14(11)8-12/h4-8,10,13,17-18H,3,9H2,1-2H3,(H,19,20)/t10-,13-,17+/m1/s1	DOMFXGVFFVUTMC-JUKMUDQWSA-N
0	1	Clc1nnc(c2c1ccc(c2)/C=C/1\c2c(C=CC1)ccc(c2)F)O	InChI=1S/C19H12ClFN2O/c20-18-15-7-4-11(9-17(15)19(24)23-22-18)8-13-3-1-2-12-5-6-14(21)10-16(12)13/h1-2,4-10H,3H2,(H,23,24)/b13-8-	LYLHUTOXRUMRMG-JYRVWZFOSA-N
1	2	Cl[C@H](c1cc(OCC(=O)OC)c(cc1)O)/C=C\C/C(=N\C(=N)O)/C=C	InChI=1S/C17H19ClN2O5/c1-3-12(20-17(19)23)5-4-6-13(18)11-7-8-14(21)15(9-11)25-10-16(22)24-2/h3-4,6-9,13,21H,1,5,10H2,2H3,(H2,19,23)/b6-4-,20-12-/t13-/m0/s1	ZHFFTYGJGBPTLN-ABXYMQPESA-N
1	0	S(=O)(=O)(c1cc(O)c2c(c1)cc(c(c2O)c1c(NCC)c(F)ccc1O)C[C@H](O)CC)C	InChI=1S/C23H26FNO6S/c1-4-14(26)9-12-8-13-10-15(32(3,30)31)11-18(28)19(13)23(29)20(12)21-17(27)7-6-16(24)22(21)25-5-2/h6-8,10-11,14,25-29H,4-5,9H2,1-3H3/t14-/m1/s1	WBBHQIDFUQKLBN-CQSZACIVSA-N
1	0	O=C(Nc1ccc(cc1)N)[C@@](O)(c1ccccc1)c1c[nH]cc1	InChI=1S/C18H17N3O2/c19-15-6-8-16(9-7-15)21-17(22)18(23,14-10-11-20-12-14)13-4-2-1-3-5-13/h1-12,20,23H,19H2,(H,21,22)/t18-/m1/s1	VOQCZXRHJNRNQL-GOSISDBHSA-N
0	0	O=C(OCC)CCc1c(ccc(c1)OC)CC(=O)O	InChI=1S/C14H18O5/c1-3-19-14(17)7-5-10-8-12(18-2)6-4-11(10)9-13(15)16/h4,6,8H,3,5,7,9H2,1-2H3,(H,15,16)	ZACAMVQEPQQICY-UHFFFAOYSA-N
1	0	O=CCC1=C2C=CCC[C@@H]2c2c(C1)c(c(nc2)CC)CC	InChI=1S/C19H23NO/c1-3-14-17-11-13(9-10-21)15-7-5-6-8-16(15)18(17)12-20-19(14)4-2/h5,7,10,12,16H,3-4,6,8-9,11H2,1-2H3/t16-/m0/s1	DVJQBAGKPIAHGU-INIZCTEOSA-N
0	1	Oc1cnc2c(c1)ccc(c2)/C(=N\c1nc2c(cc1)CC1=C(C2)CC=CC1)/O	InChI=1S/C23H19N3O2/c27-19-10-17-5-6-18(12-20(17)24-13-19)23(28)26-22-8-7-16-9-14-3-1-2-4-15(14)11-21(16)25-22/h1-2,5-8,10,12-13,27H,3-4,9,11H2,(H,25,26,28)	CINRRLDMNFJYTL-UHFFFAOYSA-N
0	1	O=C(O)c1c2c(cc(cc2C)O)ccc1NC/C=C\NCC	InChI=1S/C17H20N2O3/c1-3-18-7-4-8-19-14-6-5-12-10-13(20)9-11(2)15(12)16(14)17(21)22/h4-7,9-10,18-20H,3,8H2,1-2H3,(H,21,22)/b7-4-	JXOGUVJITRPBHZ-DAXSKMNVSA-N
1	0	O=C(OC(=O)[C@H]1C(=C(Cc2c1cc(c(c2)OC)O)C)O)c1ccc(cc1)O	InChI=1S/C20H18O7/c1-10-7-12-8-16(26-2)15(22)9-14(12)17(18(10)23)20(25)27-19(24)11-3-5-13(21)6-4-11/h3-6,8-9,17,21-23H,7H2,1-2H3/t17-/m1/s1	WDDZALVPGWJPBC-QGZVFWFLSA-N
0	0	O=C(c1ccccc1)CCc1oc2c(c1)c1c(c3c2c(cc(c3)OC)C)oc(c1)C	InChI=1S/C26H22O4/c1-15-11-19(28-3)14-22-24(15)26-21(20-12-16(2)29-25(20)22)13-18(30-26)9-10-23(27)17-7-5-4-6-8-17/h4-8,11-14H,9-10H2,1-3H3	PRCBKCQXQRLBML-UHFFFAOYSA-N
2	0	Cl[C@H]1c2c(cccc2)CC(=C1[C@H](O)Cn1c2c(cc1)c(ccc2)CC(C)(C)C)OC(=O)C	InChI=1S/C27H30ClNO3/c1-17(30)32-24-14-18-8-5-6-10-21(18)26(28)25(24)23(31)16-29-13-12-20-19(15-27(2,3)4)9-7-11-22(20)29/h5-13,23,26,31H,14-16H2,1-4H3/t23-,26+/m1/s1	WGOPBDUSCRHEAD-BVAGGSTKSA-N
1	0	Fc1c2c([nH]cc2)cc(c1)[C@](c1ccccc1)(C(=O)NC)COCCNC	InChI=1S/C21H24FN3O2/c1-23-10-11-27-14-21(20(26)24-2,15-6-4-3-5-7-15)16-12-18(22)17-8-9-25-19(17)13-16/h3-9,12-13,23,25H,10-11,14H2,1-2H3,(H,24,26)/t21-/m0/s1	FUMARDTZKLQHGF-NRFANRHFSA-N
0	0	Brc1c(Cl)c(cc2c1c(OCCOC)c(F)cc2)CC(=O)O	InChI=1S/C15H13BrClFO4/c1-21-4-5-22-15-10(18)3-2-8-6-9(7-11(19)20)14(17)13(16)12(8)15/h2-3,6H,4-5,7H2,1H3,(H,19,20)	HXOGXBIEDKMECO-UHFFFAOYSA-N
1	0	ClC1=C[C@H](c2c3c1c(Cl)cc(c3c1c(c2C(=O)O)cc(c2c1[nH]c(c2)O)O)C(=O)O)O	InChI=1S/C21H11Cl2NO7/c22-8-1-7(20(28)29)13-14-6(2-10(25)5-3-12(27)24-19(5)14)15(21(30)31)17-11(26)4-9(23)16(8)18(13)17/h1-4,11,24-27H,(H,28,29)(H,30,31)/t11-/m1/s1	UCKFMFLUUGIPAJ-LLVKDONJSA-N
0	0	S(=O)(=O)(NC(=O)C(=O)NC(=O)O)Cc1ccccc1	InChI=1S/C10H10N2O6S/c13-8(11-10(15)16)9(14)12-19(17,18)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,13)(H,12,14)(H,15,16)	APKNZBMNVODTAD-UHFFFAOYSA-N
2	0	ClC1=C[C@H](c2c(C1)cc1c3c2c(O)nc(c3C(=C[C@H]1O)C(=O)O)O)C	InChI=1S/C18H14ClNO5/c1-6-2-8(19)3-7-4-9-11(21)5-10(18(24)25)14-13(9)15(12(6)7)17(23)20-16(14)22/h2,4-6,11,21H,3H2,1H3,(H,24,25)(H2,20,22,23)/t6-,11-/m1/s1	BLFIBMIRQRLQKJ-KSBSHMNSSA-N
1	0	O=C(OCC=O)NCc1c(ccc(c1)CC[C@H](O)CNC(=O)NC(=O)CC(C)(C)C)C	InChI=1S/C22H33N3O6/c1-15-5-6-16(11-17(15)13-24-21(30)31-10-9-26)7-8-18(27)14-23-20(29)25-19(28)12-22(2,3)4/h5-6,9,11,18,27H,7-8,10,12-14H2,1-4H3,(H,24,30)(H2,23,25,28,29)/t18-/m0/s1	YTKPFSMRTVSMME-SFHVURJKSA-N
1	1	O(Cc1c2c(cc(cc2)C2=C(/C=C/CCO)CC=C3[C@H]2C=CC(=C3)CC)ccc1)C	InChI=1S/C28H30O2/c1-3-20-10-14-27-23(17-20)12-11-21(7-4-5-16-29)28(27)24-13-15-26-22(18-24)8-6-9-25(26)19-30-2/h4,6-10,12-15,17-18,27,29H,3,5,11,16,19H2,1-2H3/b7-4+/t27-/m1/s1	PLVLOYMHFMVHES-ROJSOIAYSA-N
0	1	O=C(O)Cc1c(O)c(c2c(c1)cc(cc2)OC)CC(=O)N/N=C(\NC(=O)C)/N	InChI=1S/C18H20N4O6/c1-9(23)20-18(19)22-21-15(24)8-14-13-4-3-12(28-2)6-10(13)5-11(17(14)27)7-16(25)26/h3-6,27H,7-8H2,1-2H3,(H,21,24)(H,25,26)(H3,19,20,22,23)	WAMZRLBWWQWIDR-UHFFFAOYSA-N
0	0	O=C(OCC)c1c2c(c(C(=O)CC(=O)O)ccc2)cc(c1C)C(=O)O	InChI=1S/C18H16O7/c1-3-25-18(24)16-9(2)12(17(22)23)7-13-10(5-4-6-11(13)16)14(19)8-15(20)21/h4-7H,3,8H2,1-2H3,(H,20,21)(H,22,23)	MPZMMMMUKOSEFM-UHFFFAOYSA-N
0	0	O=C1C(=C(C(=O)c2c1c(Oc1c(c([nH]c1)O)C)c(OC)c(c2)OCCCCO)C)O	InChI=1S/C21H23NO8/c1-10-14(9-22-21(10)27)30-20-15-12(16(24)11(2)17(25)18(15)26)8-13(19(20)28-3)29-7-5-4-6-23/h8-9,22-23,25,27H,4-7H2,1-3H3	LVJKSJWQZLIQBK-UHFFFAOYSA-N
1	2	Clc1cc(O)cc(c1)C(=O)/C(=C(\O)/[C@@H](NCC(=O)N/C(=N\O)/N)CC(=O)O)/CCO	InChI=1S/C17H21ClN4O8/c18-9-3-8(4-10(24)5-9)15(28)11(1-2-23)16(29)12(6-14(26)27)20-7-13(25)21-17(19)22-30/h3-5,12,20,23-24,29-30H,1-2,6-7H2,(H,26,27)(H3,19,21,22,25)/b16-11-/t12-/m0/s1	QIXGJQZDKROWNG-IEMQHYRPSA-N
1	0	ClC1=C[C@H](c2c3c1ccc(c3c(c(c2)O)C(=O)N)Cl)OCC(=O)O	InChI=1S/C16H11Cl2NO5/c17-8-2-1-6-9(18)4-11(24-5-12(21)22)7-3-10(20)15(16(19)23)14(8)13(6)7/h1-4,11,20H,5H2,(H2,19,23)(H,21,22)/t11-/m1/s1	IOZKYPAQMDUMMN-LLVKDONJSA-N
0	0	O=C(O)c1[nH]c2c(c1)c(Oc1cc(ccc1)C)c(c1c2cco1)O	InChI=1S/C18H13NO5/c1-9-3-2-4-10(7-9)24-17-12-8-13(18(21)22)19-14(12)11-5-6-23-16(11)15(17)20/h2-8,19-20H,1H3,(H,21,22)	UJGJIVCLWZHFGY-UHFFFAOYSA-N
0	0	ClC(=C)Sc1c(cc2c(c1)c(c1c(c2)c(C(=O)O)cc(c1)CCCC(C)C)COC)CCCC	InChI=1S/C29H35ClO3S/c1-6-7-11-21-14-22-15-25-24(27(17-33-5)23(22)16-28(21)34-19(4)30)12-20(10-8-9-18(2)3)13-26(25)29(31)32/h12-16,18H,4,6-11,17H2,1-3,5H3,(H,31,32)	AXJSGTBHSFQXFC-UHFFFAOYSA-N
0	2	O=C(O)CC/C=C(\O)/N=C(\Nc1ccccc1)/C	InChI=1S/C13H16N2O3/c1-10(14-11-6-3-2-4-7-11)15-12(16)8-5-9-13(17)18/h2-4,6-8,16H,5,9H2,1H3,(H,14,15)(H,17,18)/b12-8-	JODBKEUKPVFVIN-WQLSENKSSA-N
0	0	Clc1c(S(=O)(=O)O)c(O)ccc1Oc1c2c(c(c3c(c2)cc(cc3)Cl)C(=O)CC(=O)O)ccc1	InChI=1S/C23H14Cl2O8S/c24-12-4-5-13-11(8-12)9-15-14(21(13)17(27)10-20(28)29)2-1-3-18(15)33-19-7-6-16(26)23(22(19)25)34(30,31)32/h1-9,26H,10H2,(H,28,29)(H,30,31,32)	VFMWCCLCZUGVMK-UHFFFAOYSA-N
1	0	Fc1cc2c(cc1)c(Oc1c3c(c(cc1)[C@@H](N)C)cccc3C(=O)OCC)ccc2	InChI=1S/C25H22FNO3/c1-3-29-25(28)21-8-5-7-20-18(15(2)27)12-13-23(24(20)21)30-22-9-4-6-16-14-17(26)10-11-19(16)22/h4-15H,3,27H2,1-2H3/t15-/m0/s1	TYQMJUPDOHUVPK-HNNXBMFYSA-N
2	1	O=C(O)c1cc(ccc1)C[C@@H](C(=O)O)C[C@@H](C(=O)C)/C=C/C(=O)O	InChI=1S/C17H18O7/c1-10(18)12(5-6-15(19)20)9-14(17(23)24)8-11-3-2-4-13(7-11)16(21)22/h2-7,12,14H,8-9H2,1H3,(H,19,20)(H,21,22)(H,23,24)/b6-5+/t12-,14+/m0/s1	QNCMYTWXPPTCPQ-UGAQRHAQSA-N
0	1	Clc1cc2c(cc1)c(c(cc2)CN/C=C\C)C(C)(C)C	InChI=1S/C18H22ClN/c1-5-10-20-12-14-7-6-13-11-15(19)8-9-16(13)17(14)18(2,3)4/h5-11,20H,12H2,1-4H3/b10-5-	LWZTVTSYZSICNG-YHYXMXQVSA-N
1	0	O=C(O)c1c(c2c(n[nH]c2cc1)c1c(OCC)cccc1O)[C@@H](C(=O)O)C(=O)NO	InChI=1S/C19H17N3O8/c1-2-30-11-5-3-4-10(23)14(11)16-13-9(20-21-16)7-6-8(18(25)26)12(13)15(19(27)28)17(24)22-29/h3-7,15,23,29H,2H2,1H3,(H,20,21)(H,22,24)(H,25,26)(H,27,28)/t15-/m1/s1	HNTVCVOCFUEWCX-OAHLLOKOSA-N
0	1	O=C(O)c1cc(/N=C(/NC(=O)c2c(O)nccc2c2ccccc2)\N)ccc1	InChI=1S/C20H16N4O4/c21-20(23-14-8-4-7-13(11-14)19(27)28)24-18(26)16-15(9-10-22-17(16)25)12-5-2-1-3-6-12/h1-11H,(H,22,25)(H,27,28)(H3,21,23,24,26)	XKJMIGSVAPWTOL-UHFFFAOYSA-N
0	2	O=C(O)c1c2c(c(ccc2/C(=C\C/C=C\OC)/C(O)(C)C)CCOC)ccc1C(=O)O	InChI=1S/C24H28O7/c1-24(2,29)19(7-5-6-13-30-3)17-9-8-15(12-14-31-4)16-10-11-18(22(25)26)21(20(16)17)23(27)28/h6-11,13,29H,5,12,14H2,1-4H3,(H,25,26)(H,27,28)/b13-6-,19-7+	RGVCDWMAAQFWIG-ZZDLJKIJSA-N
1	1	O=C(OCCC1=C(O)C(=C(C2=C(O)Cc3c([C@@H]12)cc(cc3C)C)/C=C/CO)O)CC	InChI=1S/C24H28O6/c1-4-20(27)30-9-7-16-21-18-11-13(2)10-14(3)17(18)12-19(26)22(21)15(6-5-8-25)23(28)24(16)29/h5-6,10-11,21,25-26,28-29H,4,7-9,12H2,1-3H3/b6-5+/t21-/m1/s1	DYVUOOLAEXZFEP-YAQIIAKESA-N
4	0	O=C(O)c1c(c(c(cc1)[C@H]1CC=C[C@@H](C1)C(=O)O)[C@@H](CO)C[C@H](OC)C#N)c1[nH]ccc1	InChI=1S/C24H26N2O6/c1-32-17(12-25)11-16(13-27)21-18(14-4-2-5-15(10-14)23(28)29)7-8-19(24(30)31)22(21)20-6-3-9-26-20/h2-3,5-9,14-17,26-27H,4,10-11,13H2,1H3,(H,28,29)(H,30,31)/t14-,15-,16+,17-/m0/s1	IZLUVWGPNSXCOW-NXOAAHMSSA-N
1	1	O=C(NO)/C(=C\CC(=O)O)/C[C@@H](c1cc(ccc1)C=C)CC#N	InChI=1S/C17H18N2O4/c1-2-12-4-3-5-13(10-12)14(8-9-18)11-15(17(22)19-23)6-7-16(20)21/h2-6,10,14,23H,1,7-8,11H2,(H,19,22)(H,20,21)/b15-6-/t14-/m0/s1	OSRMVVXHCQWRHD-WACFDSSMSA-N
0	2	O=C(O)/C=C/C=C\c1cc(OC)c2c(c1)c(c([nH]2)O)C	InChI=1S/C15H15NO4/c1-9-11-7-10(5-3-4-6-13(17)18)8-12(20-2)14(11)16-15(9)19/h3-8,16,19H,1-2H3,(H,17,18)/b5-3-,6-4+	BBCHLUZNNJVBNJ-CIIODKQPSA-N
1	0	O=C(N[C@@H](C(=O)O)CC)c1c2c(c(cc1)C(=O)C)ccc(c2)CC	InChI=1S/C19H21NO4/c1-4-12-6-7-14-13(11(3)21)8-9-15(16(14)10-12)18(22)20-17(5-2)19(23)24/h6-10,17H,4-5H2,1-3H3,(H,20,22)(H,23,24)/t17-/m1/s1	QNDPKFFGGQRBIG-QGZVFWFLSA-N
1	0	O=C(OC(C)C)OCc1c(cc2c(c1)[C@H](c1c(C2)c(ccc1)CCC(=O)O)C)CC(=O)O	InChI=1S/C25H28O7/c1-14(2)32-25(30)31-13-19-11-21-15(3)20-6-4-5-16(7-8-23(26)27)22(20)10-18(21)9-17(19)12-24(28)29/h4-6,9,11,14-15H,7-8,10,12-13H2,1-3H3,(H,26,27)(H,28,29)/t15-/m0/s1	QXEFHPZSGYQEGX-HNNXBMFYSA-N
0	0	O=C(OCc1c2c(ccc(c2)C(=O)O)ccc1)c1c(O)c(O)ccc1C(=O)CC(=O)O	InChI=1S/C22H16O9/c23-16-7-6-14(17(24)9-18(25)26)19(20(16)27)22(30)31-10-13-3-1-2-11-4-5-12(21(28)29)8-15(11)13/h1-8,23,27H,9-10H2,(H,25,26)(H,28,29)	IOXUPZNLKSKXFN-UHFFFAOYSA-N
0	1	O=C(O)c1c(OCC(C2=CC/C(=C/OC)/CC2)(C)C)c(OC)ccc1	InChI=1S/C20H26O5/c1-20(2,15-10-8-14(9-11-15)12-23-3)13-25-18-16(19(21)22)6-5-7-17(18)24-4/h5-7,10,12H,8-9,11,13H2,1-4H3,(H,21,22)/b14-12-	FLGQZTDJYUIFOE-OWBHPGMISA-N
0	0	O=C(O)c1c(N)cc2c(c1)c(c(nc2O)N)c1c(C(=O)O)cc(cc1)N	InChI=1S/C17H14N4O5/c18-6-1-2-7(10(3-6)16(23)24)13-8-4-11(17(25)26)12(19)5-9(8)15(22)21-14(13)20/h1-5H,18-19H2,(H,23,24)(H,25,26)(H3,20,21,22)	DZGMHJSSKVULPA-UHFFFAOYSA-N
2	0	O=C(O)[C@@H](n1c(O)ccc1[C@@H](O)c1c2c(c(O)cc(c2)OC)c(c(c1)CCCC#N)C(C)(C)C)C	InChI=1S/C27H32N2O6/c1-15(26(33)34)29-20(9-10-22(29)31)25(32)19-12-16(8-6-7-11-28)24(27(2,3)4)23-18(19)13-17(35-5)14-21(23)30/h9-10,12-15,25,30-32H,6-8H2,1-5H3,(H,33,34)/t15-,25-/m0/s1	BECUWUUVBKYLHV-MQNRADLISA-N
0	1	Clc1cc2c(c(c1)/C=C(\c1ccccc1)/CC(=O)O)c(C(=O)O)cc(c2)O	InChI=1S/C21H15ClO5/c22-16-7-14(6-13(10-19(24)25)12-4-2-1-3-5-12)20-15(8-16)9-17(23)11-18(20)21(26)27/h1-9,11,23H,10H2,(H,24,25)(H,26,27)/b13-6-	BILIWJDYIUTIKK-MLPAPPSSSA-N
0	0	O=C(O)NC(=O)CC(=O)NCCc1cc2c(cc1)c(C#N)ccc2	InChI=1S/C17H15N3O4/c18-10-13-3-1-2-12-8-11(4-5-14(12)13)6-7-19-15(21)9-16(22)20-17(23)24/h1-5,8H,6-7,9H2,(H,19,21)(H,20,22)(H,23,24)	LEETZAUBPLCCDM-UHFFFAOYSA-N
2	0	O=C(OC(=O)Cn1cccc1)Nc1c(c(O)cc(c1C)CC)[C@@H]1c2c(O)[nH]c(c2[C@H](C=C1)O)C(=O)O	InChI=1S/C25H25N3O8/c1-3-13-10-16(30)18(14-6-7-15(29)20-19(14)23(32)26-22(20)24(33)34)21(12(13)2)27-25(35)36-17(31)11-28-8-4-5-9-28/h4-10,14-15,26,29-30,32H,3,11H2,1-2H3,(H,27,35)(H,33,34)/t14-,15+/m1/s1	CXWUMNBDDSBBTD-CABCVRRESA-N
