tetra	ez	rdSMILES	rdInChI	rdInChIKey
1	1	Cc1c(O)c(-c2c(O)cc3c(O)ccc(C(=O)O)c3c2[C@@H](C)C(=O)O)cc(O)c1C(=O)O	InChI=1S/C22H18O10/c1-7-15(22(31)32)13(24)6-11(19(7)26)18-14(25)5-10-12(23)4-3-9(21(29)30)17(10)16(18)8(2)20(27)28/h3-6,8,23-26H,1-2H3,(H,27,28)(H,29,30)(H,31,32)/t8-/m1/s1	OHHJVMXSFFJRKW-MRVPVSSYSA-N
1	1	CCCCCC(=O)OC[C@@H]1C=C(Cl)Cc2cc(CC)c3c(c21)CC(O)=CC3	InChI=1S/C23H29ClO3/c1-3-5-6-7-22(26)27-14-17-12-18(24)11-16-10-15(4-2)20-9-8-19(25)13-21(20)23(16)17/h8,10,12,17,25H,3-7,9,11,13-14H2,1-2H3/t17-/m0/s1	XGHHWDPBDMNBON-KRWDZBQOSA-N
0	0	Cc1c[nH]c2cc3c(cc12)nc(C(=O)O)c1c(O)cc2ccccc2c13	InChI=1S/C21H14N2O3/c1-10-9-22-15-8-14-16(7-13(10)15)23-20(21(25)26)19-17(24)6-11-4-2-3-5-12(11)18(14)19/h2-9,22,24H,1H3,(H,25,26)	KUQRMCYFKPSBNF-UHFFFAOYSA-N
0	2	COC(=C/c1cc(O)c(F)c(C(=O)O)c1)/C(C)=C/Cc1c(O)[nH]c(O)c1C(C)C	InChI=1S/C21H24FNO6/c1-10(2)17-13(19(25)23-20(17)26)6-5-11(3)16(29-4)9-12-7-14(21(27)28)18(22)15(24)8-12/h5,7-10,23-26H,6H2,1-4H3,(H,27,28)/b11-5+,16-9+	JVNSRVMTOIWCPI-IKSLRBFFSA-N
1	1	O=CC[C@H](O)c1cccc2c(Nc3ccccc3)c(C(=O)O)c(Cc3ccccc3)c(O)c12	InChI=1S/C27H23NO5/c29-15-14-22(30)19-12-7-13-20-23(19)26(31)21(16-17-8-3-1-4-9-17)24(27(32)33)25(20)28-18-10-5-2-6-11-18/h1-13,15,22,28,30-31H,14,16H2,(H,32,33)/t22-/m0/s1	UKEFNRQGRJSQCF-QFIPXVFZSA-N
3	3	Cc1cccc(C(=O)[C@@H](C[C@H]2CCCC[C@H]2O)C(=O)NC(=O)CCc2ccccc2)c1	InChI=1S/C26H31NO4/c1-18-8-7-12-21(16-18)25(30)22(17-20-11-5-6-13-23(20)28)26(31)27-24(29)15-14-19-9-3-2-4-10-19/h2-4,7-10,12,16,20,22-23,28H,5-6,11,13-15,17H2,1H3,(H,27,29,31)/t20-,22-,23-/m1/s1	XCBUTYUNTOPPOZ-YMPZKCBVSA-N
0	0	CCNc1c(C)ccc2ccc(S(=O)(=O)NC(=O)NS(=O)(=O)c3ccc4ccc(CC)cc4c3)cc12	InChI=1S/C26H27N3O5S2/c1-4-18-7-9-19-10-12-22(15-21(19)14-18)35(31,32)28-26(30)29-36(33,34)23-13-11-20-8-6-17(3)25(27-5-2)24(20)16-23/h6-16,27H,4-5H2,1-3H3,(H2,28,29,30)	QQCSSGIDXJNLFK-UHFFFAOYSA-N
1	1	OCc1cccc2c1[nH]c1c3c(c(O)nc12)[C@H](O)C=CC3	InChI=1S/C16H14N2O3/c19-7-8-3-1-5-10-13(8)17-14-9-4-2-6-11(20)12(9)16(21)18-15(10)14/h1-3,5-6,11,17,19-20H,4,7H2,(H,18,21)/t11-/m1/s1	UITJGVKHKFLDMK-LLVKDONJSA-N
3	3	CCC(=O)O[C@H]([C@H](O)CC(=O)O)[C@H](C)c1ccc2ccoc2c1	InChI=1S/C17H20O6/c1-3-16(21)23-17(13(18)9-15(19)20)10(2)12-5-4-11-6-7-22-14(11)8-12/h4-8,10,13,17-18H,3,9H2,1-2H3,(H,19,20)/t10-,13-,17+/m1/s1	DOMFXGVFFVUTMC-JUKMUDQWSA-N
0	1	Oc1nnc(Cl)c2ccc(/C=C3/CC=Cc4ccc(F)cc43)cc12	InChI=1S/C19H12ClFN2O/c20-18-15-7-4-11(9-17(15)19(24)23-22-18)8-13-3-1-2-12-5-6-14(21)10-16(12)13/h1-2,4-10H,3H2,(H,23,24)/b13-8-	LYLHUTOXRUMRMG-JYRVWZFOSA-N
1	3	C=C/C(C/C=C\[C@H](Cl)c1ccc(O)c(OCC(=O)OC)c1)=N/C(=N)O	InChI=1S/C17H19ClN2O5/c1-3-12(20-17(19)23)5-4-6-13(18)11-7-8-14(21)15(9-11)25-10-16(22)24-2/h3-4,6-9,13,21H,1,5,10H2,2H3,(H2,19,23)/b6-4-,20-12-/t13-/m0/s1	ZHFFTYGJGBPTLN-ABXYMQPESA-N
1	1	CCNc1c(F)ccc(O)c1-c1c(C[C@H](O)CC)cc2cc(S(C)(=O)=O)cc(O)c2c1O	InChI=1S/C23H26FNO6S/c1-4-14(26)9-12-8-13-10-15(32(3,30)31)11-18(28)19(13)23(29)20(12)21-17(27)7-6-16(24)22(21)25-5-2/h6-8,10-11,14,25-29H,4-5,9H2,1-3H3/t14-/m1/s1	WBBHQIDFUQKLBN-CQSZACIVSA-N
1	1	Nc1ccc(NC(=O)[C@@](O)(c2ccccc2)c2cc[nH]c2)cc1	InChI=1S/C18H17N3O2/c19-15-6-8-16(9-7-15)21-17(22)18(23,14-10-11-20-12-14)13-4-2-1-3-5-13/h1-12,20,23H,19H2,(H,21,22)/t18-/m1/s1	VOQCZXRHJNRNQL-GOSISDBHSA-N
0	0	CCOC(=O)CCc1cc(OC)ccc1CC(=O)O	InChI=1S/C14H18O5/c1-3-19-14(17)7-5-10-8-12(18-2)6-4-11(10)9-13(15)16/h4,6,8H,3,5,7,9H2,1-2H3,(H,15,16)	ZACAMVQEPQQICY-UHFFFAOYSA-N
1	1	CCc1ncc2c(c1CC)CC(CC=O)=C1C=CCC[C@@H]12	InChI=1S/C19H23NO/c1-3-14-17-11-13(9-10-21)15-7-5-6-8-16(15)18(17)12-20-19(14)4-2/h5,7,10,12,16H,3-4,6,8-9,11H2,1-2H3/t16-/m0/s1	DVJQBAGKPIAHGU-INIZCTEOSA-N
0	1	O/C(=N/c1ccc2c(n1)CC1=C(CC=CC1)C2)c1ccc2cc(O)cnc2c1	InChI=1S/C23H19N3O2/c27-19-10-17-5-6-18(12-20(17)24-13-19)23(28)26-22-8-7-16-9-14-3-1-2-4-15(14)11-21(16)25-22/h1-2,5-8,10,12-13,27H,3-4,9,11H2,(H,25,26,28)	CINRRLDMNFJYTL-UHFFFAOYSA-N
0	1	CCN/C=C\CNc1ccc2cc(O)cc(C)c2c1C(=O)O	InChI=1S/C17H20N2O3/c1-3-18-7-4-8-19-14-6-5-12-10-13(20)9-11(2)15(12)16(14)17(21)22/h4-7,9-10,18-20H,3,8H2,1-2H3,(H,21,22)/b7-4-	JXOGUVJITRPBHZ-DAXSKMNVSA-N
1	1	COc1cc2c(cc1O)[C@@H](C(=O)OC(=O)c1ccc(O)cc1)C(O)=C(C)C2	InChI=1S/C20H18O7/c1-10-7-12-8-16(26-2)15(22)9-14(12)17(18(10)23)20(25)27-19(24)11-3-5-13(21)6-4-11/h3-6,8-9,17,21-23H,7H2,1-2H3/t17-/m1/s1	WDDZALVPGWJPBC-QGZVFWFLSA-N
0	0	COc1cc(C)c2c(c1)c1oc(C)cc1c1cc(CCC(=O)c3ccccc3)oc12	InChI=1S/C26H22O4/c1-15-11-19(28-3)14-22-24(15)26-21(20-12-16(2)29-25(20)22)13-18(30-26)9-10-23(27)17-7-5-4-6-8-17/h4-8,11-14H,9-10H2,1-3H3	PRCBKCQXQRLBML-UHFFFAOYSA-N
2	2	CC(=O)OC1=C([C@H](O)Cn2ccc3c(CC(C)(C)C)cccc32)[C@@H](Cl)c2ccccc2C1	InChI=1S/C27H30ClNO3/c1-17(30)32-24-14-18-8-5-6-10-21(18)26(28)25(24)23(31)16-29-13-12-20-19(15-27(2,3)4)9-7-11-22(20)29/h5-13,23,26,31H,14-16H2,1-4H3/t23-,26+/m1/s1	WGOPBDUSCRHEAD-BVAGGSTKSA-N
1	1	CNCCOC[C@](C(=O)NC)(c1ccccc1)c1cc(F)c2cc[nH]c2c1	InChI=1S/C21H24FN3O2/c1-23-10-11-27-14-21(20(26)24-2,15-6-4-3-5-7-15)16-12-18(22)17-8-9-25-19(17)13-16/h3-9,12-13,23,25H,10-11,14H2,1-2H3,(H,24,26)/t21-/m0/s1	FUMARDTZKLQHGF-NRFANRHFSA-N
0	0	COCCOc1c(F)ccc2cc(CC(=O)O)c(Cl)c(Br)c12	InChI=1S/C15H13BrClFO4/c1-21-4-5-22-15-10(18)3-2-8-6-9(7-11(19)20)14(17)13(16)12(8)15/h2-3,6H,4-5,7H2,1H3,(H,19,20)	HXOGXBIEDKMECO-UHFFFAOYSA-N
1	1	O=C(O)c1c2c3c(c(Cl)cc(C(=O)O)c3c3c1cc(O)c1cc(O)[nH]c13)C(Cl)=C[C@H]2O	InChI=1S/C21H11Cl2NO7/c22-8-1-7(20(28)29)13-14-6(2-10(25)5-3-12(27)24-19(5)14)15(21(30)31)17-11(26)4-9(23)16(8)18(13)17/h1-4,11,24-27H,(H,28,29)(H,30,31)/t11-/m1/s1	UCKFMFLUUGIPAJ-LLVKDONJSA-N
0	0	O=C(O)NC(=O)C(=O)NS(=O)(=O)Cc1ccccc1	InChI=1S/C10H10N2O6S/c13-8(11-10(15)16)9(14)12-19(17,18)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,13)(H,12,14)(H,15,16)	APKNZBMNVODTAD-UHFFFAOYSA-N
2	2	C[C@@H]1C=C(Cl)Cc2cc3c4c(c(O)nc(O)c4c21)C(C(=O)O)=C[C@H]3O	InChI=1S/C18H14ClNO5/c1-6-2-8(19)3-7-4-9-11(21)5-10(18(24)25)14-13(9)15(12(6)7)17(23)20-16(14)22/h2,4-6,11,21H,3H2,1H3,(H,24,25)(H2,20,22,23)/t6-,11-/m1/s1	BLFIBMIRQRLQKJ-KSBSHMNSSA-N
1	1	Cc1ccc(CC[C@H](O)CNC(=O)NC(=O)CC(C)(C)C)cc1CNC(=O)OCC=O	InChI=1S/C22H33N3O6/c1-15-5-6-16(11-17(15)13-24-21(30)31-10-9-26)7-8-18(27)14-23-20(29)25-19(28)12-22(2,3)4/h5-6,9,11,18,27H,7-8,10,12-14H2,1-4H3,(H,24,30)(H2,23,25,28,29)/t18-/m0/s1	YTKPFSMRTVSMME-SFHVURJKSA-N
1	2	CCC1=CC2=CCC(/C=C/CCO)=C(c3ccc4c(COC)cccc4c3)[C@@H]2C=C1	InChI=1S/C28H30O2/c1-3-20-10-14-27-23(17-20)12-11-21(7-4-5-16-29)28(27)24-13-15-26-22(18-24)8-6-9-25(26)19-30-2/h4,6-10,12-15,17-18,27,29H,3,5,11,16,19H2,1-2H3/b7-4+/t27-/m1/s1	PLVLOYMHFMVHES-ROJSOIAYSA-N
0	1	COc1ccc2c(CC(=O)N/N=C(/N)NC(C)=O)c(O)c(CC(=O)O)cc2c1	InChI=1S/C18H20N4O6/c1-9(23)20-18(19)22-21-15(24)8-14-13-4-3-12(28-2)6-10(13)5-11(17(14)27)7-16(25)26/h3-6,27H,7-8H2,1-2H3,(H,21,24)(H,25,26)(H3,19,20,22,23)	WAMZRLBWWQWIDR-UHFFFAOYSA-N
0	0	CCOC(=O)c1c(C)c(C(=O)O)cc2c(C(=O)CC(=O)O)cccc12	InChI=1S/C18H16O7/c1-3-25-18(24)16-9(2)12(17(22)23)7-13-10(5-4-6-11(13)16)14(19)8-15(20)21/h4-7H,3,8H2,1-2H3,(H,20,21)(H,22,23)	MPZMMMMUKOSEFM-UHFFFAOYSA-N
0	0	COc1c(OCCCCO)cc2c(c1Oc1c[nH]c(O)c1C)C(=O)C(O)=C(C)C2=O	InChI=1S/C21H23NO8/c1-10-14(9-22-21(10)27)30-20-15-12(16(24)11(2)17(25)18(15)26)8-13(19(20)28-3)29-7-5-4-6-23/h8-9,22-23,25,27H,4-7H2,1-3H3	LVJKSJWQZLIQBK-UHFFFAOYSA-N
1	3	N/C(=N/O)NC(=O)CN[C@@H](CC(=O)O)/C(O)=C(\CCO)C(=O)c1cc(O)cc(Cl)c1	InChI=1S/C17H21ClN4O8/c18-9-3-8(4-10(24)5-9)15(28)11(1-2-23)16(29)12(6-14(26)27)20-7-13(25)21-17(19)22-30/h3-5,12,20,23-24,29-30H,1-2,6-7H2,(H,26,27)(H3,19,21,22,25)/b16-11-/t12-/m0/s1	QIXGJQZDKROWNG-IEMQHYRPSA-N
1	1	NC(=O)c1c(O)cc2c3c(ccc(Cl)c13)C(Cl)=C[C@H]2OCC(=O)O	InChI=1S/C16H11Cl2NO5/c17-8-2-1-6-9(18)4-11(24-5-12(21)22)7-3-10(20)15(16(19)23)14(8)13(6)7/h1-4,11,20H,5H2,(H2,19,23)(H,21,22)/t11-/m1/s1	IOZKYPAQMDUMMN-LLVKDONJSA-N
0	0	Cc1cccc(Oc2c(O)c3occc3c3[nH]c(C(=O)O)cc23)c1	InChI=1S/C18H13NO5/c1-9-3-2-4-10(7-9)24-17-12-8-13(18(21)22)19-14(12)11-5-6-23-16(11)15(17)20/h2-8,19-20H,1H3,(H,21,22)	UJGJIVCLWZHFGY-UHFFFAOYSA-N
0	0	C=C(Cl)Sc1cc2c(COC)c3cc(CCCC(C)C)cc(C(=O)O)c3cc2cc1CCCC	InChI=1S/C29H35ClO3S/c1-6-7-11-21-14-22-15-25-24(27(17-33-5)23(22)16-28(21)34-19(4)30)12-20(10-8-9-18(2)3)13-26(25)29(31)32/h12-16,18H,4,6-11,17H2,1-3,5H3,(H,31,32)	AXJSGTBHSFQXFC-UHFFFAOYSA-N
0	2	C/C(=N/C(O)=C/CCC(=O)O)Nc1ccccc1	InChI=1S/C13H16N2O3/c1-10(14-11-6-3-2-4-7-11)15-12(16)8-5-9-13(17)18/h2-4,6-8,16H,5,9H2,1H3,(H,14,15)(H,17,18)/b12-8-	JODBKEUKPVFVIN-WQLSENKSSA-N
0	0	O=C(O)CC(=O)c1c2ccc(Cl)cc2cc2c(Oc3ccc(O)c(S(=O)(=O)O)c3Cl)cccc12	InChI=1S/C23H14Cl2O8S/c24-12-4-5-13-11(8-12)9-15-14(21(13)17(27)10-20(28)29)2-1-3-18(15)33-19-7-6-16(26)23(22(19)25)34(30,31)32/h1-9,26H,10H2,(H,28,29)(H,30,31,32)	VFMWCCLCZUGVMK-UHFFFAOYSA-N
1	1	CCOC(=O)c1cccc2c([C@H](C)N)ccc(Oc3cccc4cc(F)ccc34)c12	InChI=1S/C25H22FNO3/c1-3-29-25(28)21-8-5-7-20-18(15(2)27)12-13-23(24(20)21)30-22-9-4-6-16-14-17(26)10-11-19(16)22/h4-15H,3,27H2,1-2H3/t15-/m0/s1	TYQMJUPDOHUVPK-HNNXBMFYSA-N
2	3	CC(=O)[C@@H](/C=C/C(=O)O)C[C@@H](Cc1cccc(C(=O)O)c1)C(=O)O	InChI=1S/C17H18O7/c1-10(18)12(5-6-15(19)20)9-14(17(23)24)8-11-3-2-4-13(7-11)16(21)22/h2-7,12,14H,8-9H2,1H3,(H,19,20)(H,21,22)(H,23,24)/b6-5+/t12-,14+/m0/s1	QNCMYTWXPPTCPQ-UGAQRHAQSA-N
0	1	C/C=C\NCc1ccc2cc(Cl)ccc2c1C(C)(C)C	InChI=1S/C18H22ClN/c1-5-10-20-12-14-7-6-13-11-15(19)8-9-16(13)17(14)18(2,3)4/h5-11,20H,12H2,1-4H3/b10-5-	LWZTVTSYZSICNG-YHYXMXQVSA-N
1	1	CCOc1cccc(O)c1-c1n[nH]c2ccc(C(=O)O)c([C@@H](C(=O)O)C(=O)NO)c12	InChI=1S/C19H17N3O8/c1-2-30-11-5-3-4-10(23)14(11)16-13-9(20-21-16)7-6-8(18(25)26)12(13)15(19(27)28)17(24)22-29/h3-7,15,23,29H,2H2,1H3,(H,20,21)(H,22,24)(H,25,26)(H,27,28)/t15-/m1/s1	HNTVCVOCFUEWCX-OAHLLOKOSA-N
0	1	N/C(=N\c1cccc(C(=O)O)c1)NC(=O)c1c(-c2ccccc2)ccnc1O	InChI=1S/C20H16N4O4/c21-20(23-14-8-4-7-13(11-14)19(27)28)24-18(26)16-15(9-10-22-17(16)25)12-5-2-1-3-6-12/h1-11H,(H,22,25)(H,27,28)(H3,21,23,24,26)	XKJMIGSVAPWTOL-UHFFFAOYSA-N
0	2	CO/C=C\C/C=C(\c1ccc(CCOC)c2ccc(C(=O)O)c(C(=O)O)c12)C(C)(C)O	InChI=1S/C24H28O7/c1-24(2,29)19(7-5-6-13-30-3)17-9-8-15(12-14-31-4)16-10-11-18(22(25)26)21(20(16)17)23(27)28/h6-11,13,29H,5,12,14H2,1-4H3,(H,25,26)(H,27,28)/b13-6-,19-7+	RGVCDWMAAQFWIG-ZZDLJKIJSA-N
1	2	CCC(=O)OCCC1=C(O)C(O)=C(/C=C/CO)C2=C(O)Cc3c(C)cc(C)cc3[C@@H]12	InChI=1S/C24H28O6/c1-4-20(27)30-9-7-16-21-18-11-13(2)10-14(3)17(18)12-19(26)22(21)15(6-5-8-25)23(28)24(16)29/h5-6,10-11,21,25-26,28-29H,4,7-9,12H2,1-3H3/b6-5+/t21-/m1/s1	DYVUOOLAEXZFEP-YAQIIAKESA-N
4	4	CO[C@H](C#N)C[C@H](CO)c1c([C@H]2CC=C[C@H](C(=O)O)C2)ccc(C(=O)O)c1-c1ccc[nH]1	InChI=1S/C24H26N2O6/c1-32-17(12-25)11-16(13-27)21-18(14-4-2-5-15(10-14)23(28)29)7-8-19(24(30)31)22(21)20-6-3-9-26-20/h2-3,5-9,14-17,26-27H,4,10-11,13H2,1H3,(H,28,29)(H,30,31)/t14-,15-,16+,17-/m0/s1	IZLUVWGPNSXCOW-NXOAAHMSSA-N
1	2	C=Cc1cccc([C@@H](CC#N)C/C(=C/CC(=O)O)C(=O)NO)c1	InChI=1S/C17H18N2O4/c1-2-12-4-3-5-13(10-12)14(8-9-18)11-15(17(22)19-23)6-7-16(20)21/h2-6,10,14,23H,1,7-8,11H2,(H,19,22)(H,20,21)/b15-6-/t14-/m0/s1	OSRMVVXHCQWRHD-WACFDSSMSA-N
0	2	COc1cc(/C=C\C=C\C(=O)O)cc2c(C)c(O)[nH]c12	InChI=1S/C15H15NO4/c1-9-11-7-10(5-3-4-6-13(17)18)8-12(20-2)14(11)16-15(9)19/h3-8,16,19H,1-2H3,(H,17,18)/b5-3-,6-4+	BBCHLUZNNJVBNJ-CIIODKQPSA-N
1	1	CCc1ccc2c(C(C)=O)ccc(C(=O)N[C@H](CC)C(=O)O)c2c1	InChI=1S/C19H21NO4/c1-4-12-6-7-14-13(11(3)21)8-9-15(16(14)10-12)18(22)20-17(5-2)19(23)24/h6-10,17H,4-5H2,1-3H3,(H,20,22)(H,23,24)/t17-/m1/s1	QNDPKFFGGQRBIG-QGZVFWFLSA-N
1	1	CC(C)OC(=O)OCc1cc2c(cc1CC(=O)O)Cc1c(CCC(=O)O)cccc1[C@@H]2C	InChI=1S/C25H28O7/c1-14(2)32-25(30)31-13-19-11-21-15(3)20-6-4-5-16(7-8-23(26)27)22(20)10-18(21)9-17(19)12-24(28)29/h4-6,9,11,14-15H,7-8,10,12-13H2,1-3H3,(H,26,27)(H,28,29)/t15-/m0/s1	QXEFHPZSGYQEGX-HNNXBMFYSA-N
0	0	O=C(O)CC(=O)c1ccc(O)c(O)c1C(=O)OCc1cccc2ccc(C(=O)O)cc12	InChI=1S/C22H16O9/c23-16-7-6-14(17(24)9-18(25)26)19(20(16)27)22(30)31-10-13-3-1-2-11-4-5-12(21(28)29)8-15(11)13/h1-8,23,27H,9-10H2,(H,25,26)(H,28,29)	IOXUPZNLKSKXFN-UHFFFAOYSA-N
0	1	CO/C=C1/CC=C(C(C)(C)COc2c(OC)cccc2C(=O)O)CC1	InChI=1S/C20H26O5/c1-20(2,15-10-8-14(9-11-15)12-23-3)13-25-18-16(19(21)22)6-5-7-17(18)24-4/h5-7,10,12H,8-9,11,13H2,1-4H3,(H,21,22)/b14-12-	FLGQZTDJYUIFOE-OWBHPGMISA-N
0	0	Nc1ccc(-c2c(N)nc(O)c3cc(N)c(C(=O)O)cc23)c(C(=O)O)c1	InChI=1S/C17H14N4O5/c18-6-1-2-7(10(3-6)16(23)24)13-8-4-11(17(25)26)12(19)5-9(8)15(22)21-14(13)20/h1-5H,18-19H2,(H,23,24)(H,25,26)(H3,20,21,22)	DZGMHJSSKVULPA-UHFFFAOYSA-N
2	2	COc1cc(O)c2c(C(C)(C)C)c(CCCC#N)cc([C@H](O)c3ccc(O)n3[C@@H](C)C(=O)O)c2c1	InChI=1S/C27H32N2O6/c1-15(26(33)34)29-20(9-10-22(29)31)25(32)19-12-16(8-6-7-11-28)24(27(2,3)4)23-18(19)13-17(35-5)14-21(23)30/h9-10,12-15,25,30-32H,6-8H2,1-5H3,(H,33,34)/t15-,25-/m0/s1	BECUWUUVBKYLHV-MQNRADLISA-N
0	1	O=C(O)CC(=Cc1cc(Cl)cc2cc(O)cc(C(=O)O)c12)c1ccccc1	InChI=1S/C21H15ClO5/c22-16-7-14(6-13(10-19(24)25)12-4-2-1-3-5-12)20-15(8-16)9-17(23)11-18(20)21(26)27/h1-9,11,23H,10H2,(H,24,25)(H,26,27)	BILIWJDYIUTIKK-UHFFFAOYSA-N
0	0	N#Cc1cccc2cc(CCNC(=O)CC(=O)NC(=O)O)ccc12	InChI=1S/C17H15N3O4/c18-10-13-3-1-2-12-8-11(4-5-14(12)13)6-7-19-15(21)9-16(22)20-17(23)24/h1-5,8H,6-7,9H2,(H,19,21)(H,20,22)(H,23,24)	LEETZAUBPLCCDM-UHFFFAOYSA-N
2	2	CCc1cc(O)c([C@H]2C=C[C@H](O)c3c(C(=O)O)[nH]c(O)c32)c(NC(=O)OC(=O)Cn2cccc2)c1C	InChI=1S/C25H25N3O8/c1-3-13-10-16(30)18(14-6-7-15(29)20-19(14)23(32)26-22(20)24(33)34)21(12(13)2)27-25(35)36-17(31)11-28-8-4-5-9-28/h4-10,14-15,26,29-30,32H,3,11H2,1-2H3,(H,27,35)(H,33,34)/t14-,15+/m1/s1	CXWUMNBDDSBBTD-CABCVRRESA-N
1	2	C/C=C\[C@@H](O)c1cc(NC)cc(-c2cnc(O)cc2NC(=O)CCC)c1	InChI=1S/C20H25N3O3/c1-4-6-18(24)14-8-13(9-15(10-14)21-3)16-12-22-20(26)11-17(16)23-19(25)7-5-2/h4,6,8-12,18,21,24H,5,7H2,1-3H3,(H2,22,23,25,26)/b6-4-/t18-/m1/s1	YPAYZJVZQFGHMF-WLPBJKJWSA-N
