Structure [idcode]	dwInChI	dwInChI-Key	
ffcab@JjtdDPdsKJlj}kNRMfl@@EDTQ@@@@	InChI=1S/C17H16ClNO3/c1-4-22-17-15(21-3)6-13(18)11-5-10-12(9(2)16(11)17)7-19-8-14(10)20/h5-8,20H,4H2,1-3H3	NPHKRYYKQYLMMI-UHFFFAOYSA-N	
fegaP@L`Px\tfyVun]yWnBCFkVfjjB@ijZECDI@@	InChI=1S/C20H21NO5/c1-2-11-9-13(19(23)24)3-5-14(11)15-10-12(4-8-18(15)22)16-6-7-17(21-16)20(25)26/h4,6-11,14,21-22H,2-3,5H2,1H3,(H,23,24)(H,25,26)/t11-,14-/m1/s1	WTHQFLBPQCFGQV-BXUZGUMPSA-N	
fak@b@H}ADILrs[mloKIF}flD@DCDtla@`Y@	InChI=1S/C21H15ClO2/c1-3-4-6-14-7-5-8-18(22)20(14)15-9-10-16-17(12-15)21(24)13(2)11-19(16)23/h3-12H,1H2,2H3	PJNWZXPTNIFELS-UHFFFAOYSA-N	
fewa`@J`sOHheDhThUDeEddsfcIKt[ST@E@DUT`pq@@	InChI=1S/C22H19NO3/c24-20-7-2-1-6-17(20)16-5-3-4-14(11-16)10-15-12-19-18(21(25)13-15)8-9-22(26)23-19/h1-7,9,11-13,17,23,25-26H,8,10H2/t17-/m1/s1	KTKCCZSDJVEOFZ-QGZVFWFLSA-N	
e`TRJH@M@hegOJfa`HcHhhhemEhhUeLihdlpHed]]@QBuLuSSSUB`HBLb@	InChI=1S/C22H19ClN4O5/c1-2-14-7-8-16(26-14)21(30)32-22(31)17-11-25-18(27-17)9-6-12-4-3-5-13(19(12)23)10-15(24)20(28)29/h3-11,26H,2,24H2,1H3,(H,25,27)(H,28,29)	VMDQXAJJNADUKS-UHFFFAOYSA-N	
feg@P@@HdyInYYggu_TQm^sUh@HB`Paj@@`KV@	InChI=1S/C22H20O4/c1-2-3-4-5-6-9-14-12-17-15-10-7-8-11-16(15)20(23)21(24)19(17)18(13-14)22(25)26/h4-13,23-24H,2-3H2,1H3,(H,25,26)	URANTYNQKNKVHH-UHFFFAOYSA-N	
fkAp@@HYqH}yEMEECEDdeDeTle{LZ}FuSTCATTmUEPi@@	InChI=1S/C22H24O7/c1-12-7-14(10-16(23)8-12)19(20(21(24)25)22(26)27)13-3-4-17-15(9-13)11-29-18(17)5-6-28-2/h3,7-8,10-11,19-20,23H,4-6,9H2,1-2H3,(H,24,25)(H,26,27)/t19-/m1/s1	OSXJQIFWOGHLBO-LJQANCHMSA-N	
ff}@`@@^rQSQIEIQQSI\EGM@PSPPQP@aJ@	InChI=1S/C20H24O2/c1-4-17-15(2)13-14-19(21)18(17)11-7-5-9-16-10-6-8-12-20(16)22-3/h5-8,10,12-14,21H,4,9,11H2,1-3H3	AGDVFWXSAGSRIU-UHFFFAOYSA-N	
eghXI@@H`KGDnaicklbbbbbbTTRqbLRccBf`TQSVsPLDS@LTuKPP@@	InChI=1S/C20H11NO9/c22-11(23)4-9-15(20(29)30)17(25)13-8(16(9)24)3-6-1-2-7(19(27)28)14-12(6)10(13)5-21-18(14)26/h2-3,5H,1,4H2,(H,21,26)(H,22,23)(H,27,28)(H,29,30)	VPVCHVVZOWHGTI-UHFFFAOYSA-N	
feg`R@DqjNXHcHhdiheELeLTdiSbmAs@@D@pTUS@@`Y@	InChI=1S/C20H18ClNO4/c1-11(20(25)22-10-18(23)24)19-16-6-5-15(26-2)8-13(16)7-12-3-4-14(21)9-17(12)19/h3-9,22,25H,10H2,1-2H3,(H,23,24)	RXZFEHHMHHGPMD-UHFFFAOYSA-N	
e`TPBD@Akgo`HarPrJJIIJZJIKZEJKIJBZAYIETaA@D@AUUTpDCT`PP	InChI=1S/C26H26ClFO4/c27-23(20-10-9-18-3-1-5-24(28)22(18)16-20)12-8-17-7-11-21(25(30)13-14-29)19(15-17)4-2-6-26(31)32/h1,3,5,7,9-12,15-16,25,29-30H,2,4,6,8,13-14H2,(H,31,32)/t25-/m0/s1	KMGIDQMRVFCWPK-VWLOTQADSA-N	
eg`\ND@LCHhDNJnam`@bZPrRRqQZZKSQISS[S\RFNYMKSTmRDECTuP@@@	InChI=1S/C18H16FN3O7S/c1-2-13(23)29-18(25)22-15-9(3-4-11(19)16(15)24)14-10(5-7-21-14)17-12(6-8-28-17)30(20,26)27/h3-8,21,24H,2H2,1H3,(H,22,25)(H2,20,26,27)	FYXUZRHPLFTMAF-UHFFFAOYSA-N	
fkwah@L@QrR`qkvZ|bbRTTtrbbTTlTzZMjifjAhhajHBP@	InChI=1S/C17H19NO11/c1-3-27-10(21)7-29-17(26)18-14(22)13(15(23)24)11-8(19)5-6-9(20)12(11)16(25)28-4-2/h5-6,13,19-20H,3-4,7H2,1-2H3,(H,23,24)(H,18,22,26)/t13-/m0/s1	ULDYHYBACWTSNI-ZDUSSCGKSA-N	
edZTN@@LK`DNOAiglbbRTTtRTRbRrbTqRKbTSRupLKUS@@PDPL@P@@@@@	InChI=1S/C25H18N2O7/c28-22-12-16-10-15(11-19(24(30)31)20(16)13-26-22)14-33-25(32)27-23(29)18-8-4-5-9-21(18)34-17-6-2-1-3-7-17/h1-13H,14H2,(H,26,28)(H,30,31)(H,27,29,32)	FHLLJLKSKPMETE-UHFFFAOYSA-N	
e`XPJ@@@DBjmlbbTRbRbRRRbRQJrRabWSTDQATBtUMT@DBR@	InChI=1S/C27H34O5/c1-3-4-5-6-7-8-9-12-17-32-27(31)25-19-24(26(29)30)22-15-14-20(2)18-23(22)21(25)13-10-11-16-28/h10-11,14-16,18-19H,3-9,12-13,17H2,1-2H3,(H,29,30)	ZEGHJGHTFQCMEE-UHFFFAOYSA-N	
faspb@LYkxH@cIEEddhdeEDTdzK^ttuMTuA@DKJED	InChI=1S/C18H23N3O2S/c19-12-14-10-13(11-16-15(14)4-3-8-21-16)6-7-17(20)24-9-2-1-5-18(22)23/h3-4,6-8,10,14,20H,1-2,5,9,11-12,19H2,(H,22,23)/t14-/m0/s1	JTMHVIWCLNNBJQ-AWEZNQCLSA-N	
elVXB@@E`DI`\bbRRbTRbbbTVVbbZalBRFzn^aZf`b@JhBj@hRC@rIPjPDP	InChI=1S/C30H33NO4/c1-3-7-26(31)22-16-21-14-15-27(32)19(2)30(21)23(17-22)18-35-29(34)13-5-9-20-8-4-11-25-24(20)10-6-12-28(25)33/h3-6,8,10-13,16-17,19,26-27,32-33H,1,7,9,14-15,18,31H2,2H3/t19-,26+,27+/m1/s1	CNTFDRQRWKUKDU-VHEIIQRDSA-N	
fegaR@FN|d\pQFQQQQKJIQIEZQPcIZBfejjiYjjfj`I@@	InChI=1S/C19H22ClNO5/c1-19(2,3)18-15-9(8-26-18)6-11-16(20)12(7-14(24)25)21-17(11)10(15)4-5-13(22)23/h8,10,21H,4-7H2,1-3H3,(H,22,23)(H,24,25)/t10-/m0/s1	XLWZWPSCWCACIR-JTQLQIEISA-N	
fgPp@BB@cdk^rJZIQSYQRiIQISICf^{USMSMM@AUECBaE@	InChI=1S/C22H26N2O6/c1-14(25)23-21(28)20(22(29)30)24-19(27)13-18(26)9-5-2-6-15-10-11-16-7-3-4-8-17(16)12-15/h2,5,10-12,20H,3-4,6-9,13H2,1H3,(H,24,27)(H,29,30)(H,23,25,28)/t20-/m1/s1	CQQCDKJDGHDFPN-HXUWFJFHSA-N	
fnsI`@BF]TBFyEMDddleEDhbsbmYjuM@ESTsA@`y@	InChI=1S/C16H16N4O3/c1-2-15(20-9-17-7-12(20)8-21)18-11-3-4-13-10(5-11)6-14(19-13)16(22)23/h2-7,9,18-19,21H,8H2,1H3,(H,22,23)	XGLXBMUUXKYJRD-UHFFFAOYSA-N	
fbu@R@E^BdDQdTTRbRcRfTXJVh@@HjZX@@@	InChI=1S/C15H13ClO4/c1-9(17)20-15(19)6-5-10-3-2-4-12-13(10)7-11(18)8-14(12)16/h2-4,7-8,18H,5-6H2,1H3	PWNBHWCAZVARRI-UHFFFAOYSA-N	
fmoPb@LslLDPdsKjzlk[mlxkRRu[@P@EPAESPB@@	InChI=1S/C22H19ClN2O2/c1-13-7-16-8-14(3-4-15(16)9-20(13)23)12-27-17-5-6-18-19(22(26)24-2)11-25-21(18)10-17/h3-11,25H,12H2,1-2H3,(H,24,26)	VIOMKUYEEMFNPR-UHFFFAOYSA-N	
fek@H@@HXJMVcrJZJJZEJIIYKJRTtDPUUUUSDCH@	InChI=1S/C18H26O8/c1-11(21)26-8-4-5-12(10-20)14-9-15(22)16(18(24)25)17(23)13(14)6-2-3-7-19/h9,12,19-20,22-23H,2-8,10H2,1H3,(H,24,25)/t12-/m0/s1	BEGAEXMJIKMARE-LBPRGKRZSA-N	
ek`PDL@EI`ICJPJdLbbbTVRRTRtblRVXxdt|RvN`@@``hj``@@@@	InChI=1S/C24H19F3O2/c25-22-10-11-23(29-13-5-12-28)20-14-16-6-4-9-21(18(16)15-19(20)22)24(26,27)17-7-2-1-3-8-17/h1-4,6-11,14-15,28H,5,12-13H2	OIVOIRURWNVQSU-UHFFFAOYSA-N	
edZXB@@M`DKglbfbbTTRRatRTRrRfPdgbUWTqsPDEUPIDUUMQCAp`@	InChI=1S/C29H33NO4/c1-14-7-8-19-20(9-14)15(2)10-25(29(32)33)27(19)17(4)21-12-22(18(5)31)28(30)24-11-16(3)26(34-6)13-23(21)24/h9-10,12,17H,7-8,11,13,30H2,1-6H3,(H,32,33)/t17-/m0/s1	SVPCSISVBQYCFJ-KRWDZBQOSA-N	
fkoaJ@LPPIQhy{L@QddaTTTTtRabNbUUduFmPMDSPuRsDBBt	InChI=1S/C18H17NO9S/c1-3-4-5-9-6-13(22)17(16(28-2)14(9)23)29(26,27)19-18(25)11-7-10(20)8-12(21)15(11)24/h3-4,6-8,21-23H,5H2,1-2H3,(H,19,25)	ABIWRRHBYWSZNI-UHFFFAOYSA-N	
fegaP@D@yJMTfVYgeV]o}^suhvhF`BB@`H@@@	InChI=1S/C20H17NO5/c1-11-7-8-12-9-17(26-2)15(10-14(12)18(11)23)20(25)21-19(24)13-5-3-4-6-16(13)22/h3-10,22-23H,1-2H3,(H,21,24,25)	NTGFYHVYMXYDEQ-UHFFFAOYSA-N	
elVXNH@EKHlbiem`@cIEEEDdeLcEDeeCJhdbJICFnhTZAbJJjVjfZ@BD`DP@	InChI=1S/C26H23NO7S/c28-21(29)13-5-12-20-23(27-26(32)34-22(30)15-16-7-2-1-3-8-16)17-9-4-10-18(25(17)35-20)24(31)19-11-6-14-33-19/h1-4,6-11,14,24,31H,5,12-13,15H2,(H,27,32)(H,28,29)/t24-/m0/s1	IVUZCDNDZCAASD-DEOSSOPVSA-N	
e`TXID@BEMCHlbncg`LRpHrJJIJIQHyQSPq[IJLBVNSKPPQSSSLDATq@@@	InChI=1S/C20H14BrNO9S/c1-8(23)30-7-9-2-3-10(13(24)4-9)19(28)31-20(29)22-16-11-5-15(18(26)27)32-17(11)14(25)6-12(16)21/h2-6,24-25H,7H2,1H3,(H,22,29)(H,26,27)	LERHZLZMKSUUDN-UHFFFAOYSA-N	
fakab@LPQH@QddaTRbaTrVfRMYNV}VhJH@`JhH@@	InChI=1S/C19H23NO3S/c1-3-20-24(22,23)19-17(10-13(2)11-18(19)21)16-9-8-14-6-4-5-7-15(14)12-16/h8-12,20-21H,3-7H2,1-2H3	AFUCBTZIFBUMFE-UHFFFAOYSA-N	
fekPH@DX@pQkQGOHhdhilhcEDeLYfkULuMAAEL@@@	InChI=1S/C16H18N2O8/c1-9-3-2-4-10(15(9)26-8-14(23)24)5-6-11(19)17-16(25)18-12(20)7-13(21)22/h2-4H,5-8H2,1H3,(H,21,22)(H,23,24)(H2,17,18,19,20,25)	PYWGXFHDILULOM-UHFFFAOYSA-N	
ehRZHD@DBiekd`HbrHrJIQSQIQHfZIQQQEZc`pKZ{xF@HJBhjjefj`daaRJIYP@	InChI=1S/C25H29Cl2N5O/c1-2-15(17-11-14-7-3-5-9-20(14)31-24(17)27)19(26)12-22(33)23(32-25(28)29)18-13-30-21-10-6-4-8-16(18)21/h3-7,9,11,13,15,19,22-23,30,33H,2,8,10,12H2,1H3,(H4,28,29,32)/t15-,19-,22+,23+/m1/s1	CLGOSCOBWXMMRX-CHEWIWEYSA-N	
fjm@b@CYAHYEEDeCEDlibsghpDEAPQTBJJR@@	InChI=1S/C18H21FO2/c1-13-6-5-7-14(12-13)18(17(20)10-11-21-2)15-8-3-4-9-16(15)19/h3-9,12,17-18,20H,10-11H2,1-2H3/t17-,18+/m1/s1	NDCGITKCIGAXPY-MSOLQXFVSA-N	
ff}Ac@INJBPQHXdLbdLRTVRVbR`eYkU@DUT@P@@@	InChI=1S/C16H15F3O3/c17-16(18,19)12-7-11(14(9-20)15(22)8-12)5-4-10-2-1-3-13(21)6-10/h1-3,6-8,20-22H,4-5,9H2	FPJQFIYSOGYHSL-UHFFFAOYSA-N	
fjma`@D`Q[HhlhdhUDidiJrUj`@fh@@@@	InChI=1S/C17H17NO3/c1-13(19)21-12-15-6-3-5-14(9-15)10-17(20-2)16-7-4-8-18-11-16/h3-11H,12H2,1-2H3	WTSVIDCWWXBRKR-UHFFFAOYSA-N	
eh\TFL@Jmf@hbn`PLPRHLdLbbbbbeTVbNfTtTRQxd|Rn~`JHB`XffBBH@B@a@	InChI=1S/C22H15BrClFN2O6/c1-26-15-8-10(28)6-7-13(15)20(30)27-22(32)33-21(31)12-5-3-2-4-11(12)17-18(23)16(29)9-14(25)19(17)24/h2-9,26,28-29H,1H3,(H,27,30,32)	RHTAPFFCLABFTG-UHFFFAOYSA-N	
ebVTNH@HmkGFecko`HcHhheEEeEcDehlhicDlqphYUuSMMTuAAELuMSBBbLdGt@	InChI=1S/C26H27ClN2O7/c1-5-7-18(36-4)29-23(30)15-11-17(28-24(31)21(15)25(32)33)20-13(6-2)10-14-8-12(3)9-16(27)19(14)22(20)26(34)35/h7-11,13,20H,5-6H2,1-4H3,(H,28,31)(H,29,30)(H,32,33)(H,34,35)/t13-,20+/m1/s1	OZAUGPPSYVBKPZ-XCLFUZPHSA-N	
fma`@@`PsHidheDdhibddeaRlEtRuGMjj`@H@@@`@aR@@	InChI=1S/C23H19NO3/c1-12-3-4-14-10-17-13(2)23-21-16(19(27-23)5-6-20(25)26)7-8-24-22(21)18(17)11-15(14)9-12/h3-4,7-11,19H,5-6H2,1-2H3,(H,25,26)/t19-/m1/s1	DUJCQDDBXMHLIT-LJQANCHMSA-N	
fe{PJ@L^``ThiGL@QddaTTTTrbbWrTLDmUjAbBa`JX@@@	InChI=1S/C15H14N2O8S/c1-25-15(22)17-26(23,24)13-9-3-2-7(5-11(18)19)4-8(9)6-10(16)12(13)14(20)21/h2-4,6H,5,16H2,1H3,(H,17,22)(H,18,19)(H,20,21)	BGKITOGYALFWFV-UHFFFAOYSA-N	
fcw`p@I`QZNViLj|rsNot|XOdmUU@pTUU]QcdBbh@	InChI=1S/C21H27NO6/c1-5-28-16(25)7-6-12-8-15(24)19(21(4,27)11(2)3)18-17(12)14(23)9-13(10-22)20(18)26/h8-9,11-12,19,23-24,26-27H,5-7H2,1-4H3/t12-,19-,21-/m1/s1	LHOVMKJXCZOWHC-PCFDJQJPSA-N	
ekhXB@@L@DBjlbbtTRbRTrbaTJVdTLBbRzfvNZ`@@B@FBJ`A@@@	InChI=1S/C24H17NO4/c25-24(28)29-19-12-15-11-10-14-9-8-13-4-1-2-5-16(13)20(14)21(15)22-17(19)6-3-7-18(22)23(26)27/h1-3,6-12H,4-5H2,(H2,25,28)(H,26,27)	OZKCGXQQYKJZCH-UHFFFAOYSA-N	
ed\\A@@IC@`DMGBmcklbfbbTTZfbRbfTRbRHbgtKPDPttttpSA@@PAP	InChI=1S/C23H21N3O8/c1-34-12-14(13-6-3-2-4-7-13)10-17(25-18(27)11-19(28)29)21(30)26-22(31)20-15(23(32)33)8-5-9-16(20)24/h2-10,12H,11,24H2,1H3,(H,25,27)(H,28,29)(H,32,33)(H,26,30,31)	NDJUURDHKNETDT-UHFFFAOYSA-N	
flu@b@BNADILrkk\zpVkAcSMSPPEQ@T@@	InChI=1S/C16H15ClO2/c1-9-3-6-14(18)16-11(9)5-4-10-7-13(17)15(19-2)8-12(10)16/h3-4,6-8,12,18H,5H2,1-2H3/t12-/m1/s1	OLCDAJZWJMWHQK-GFCCVEGCSA-N	
eodPN@@@DCJfckdfyVUf]Uf}^xD\BrzFfZ@BijjijjfElEHeAd@@	InChI=1S/C24H24O7/c1-11-3-5-15-16-8-14(24(29)30)9-18(20(27)10-21(28)31-12(2)25)17(16)7-13-4-6-19(26)22(11)23(13)15/h3,8-9,15,19,22,26H,4-7,10H2,1-2H3,(H,29,30)/t15-,19+,22-/m0/s1	SBVMQWBOEDVPQO-LYLBAIIYSA-N	
edZ\FF@JM`RAIMCC`LQ`H|dHiCJPFbLbRfbdTLLTtvRbrbrRQWTuspLMSTlpQD@PDEHD@@@	InChI=1S/C19H10BrClF3N3O6S/c20-3-1-9(28)27(19(30)31)34(32,33)17-12(22)7-5-8-15(11(21)10(7)13(23)14(17)24)26-18-6(16(8)29)2-4-25-18/h2,4-5H,1,3H2,(H,30,31)(H2,25,26,29)	QRLKCWOZVONELC-UHFFFAOYSA-N	
eg`PFD@CKHbmc`H`RPrJJJJJJFTsJZJIQ\JZNKWPAD@qSSA@p@@@@	InChI=1S/C22H14ClFO6/c1-11-6-7-12-8-9-15(19(23)18(12)20(11)24)22(29)30-17(26)10-16(25)13-4-2-3-5-14(13)21(27)28/h2-9H,10H2,1H3,(H,27,28)	RAIVVCCVJDSLJI-UHFFFAOYSA-N	
e`RPJ@@@NKAclbbbTTLRvbTRbbfRSDbfeVrwqusPLPSHPCPDq@PDCb@	InChI=1S/C27H18O5/c1-31-23-7-3-5-17-4-2-6-19(24(17)23)20-14-18(9-8-16-12-13-32-15-16)27(30)26-22(29)11-10-21(28)25(20)26/h2-15,30H,1H3	UBMVOEOVFLMKTJ-UHFFFAOYSA-N	
fcwpP@EAjAFFYEDeEmDhddXehd`qWmjfjijVn@BHRTHh	InChI=1S/C21H23N3O4/c1-2-27-21(26)28-20(25)13-19(18-9-10-23-15-18)24-11-8-17(14-22)12-16-6-4-3-5-7-16/h3-10,15,19,23-24H,2,11-13H2,1H3/t19-/m0/s1	KZZWQWOXXFTFKC-IBGZPJMESA-N	
fmgPJ@Dut{pXeflDQdTTRbbTTjcTrRcERM@@PQMMMTp@@@	InChI=1S/C16H13ClN2O8/c17-8-5-7(20)3-6-4-9(21)12(13(11(6)8)15(25)26)14(24)19-16(27)18-2-1-10(22)23/h3-5,20-21H,1-2H2,(H,22,23)(H,25,26)(H2,18,19,24,27)	PULMYXFUGHSFES-UHFFFAOYSA-N	
fmwP`@I^AYJUVuUyyegUihykjj@Bij`R@bDUAr@	InChI=1S/C23H28N2O2/c1-3-12-27-13-11-18-15-20(23(26)24-16-18)14-17(2)25-22-10-6-8-19-7-4-5-9-21(19)22/h4-7,9-10,15-16,22H,3,8,11-14H2,1-2H3,(H,24,26)/t22-/m0/s1	XEUCQAPUXWEJQB-QFIPXVFZSA-N	
ebZ\ML@ACDkGOBjfniod\PH`bPXdLbbbffRTTUbffLtRTJgDcpLDQESMTsS@DSA@E@@	InChI=1S/C19H12ClF2N3O11/c20-8-9(21)7(16(30)31)12(13(10(8)22)24-14(27)11(23)17(32)33)25-19(35)36-18(34)4-1-2-5(15(28)29)6(26)3-4/h1-3,11,26H,23H2,(H,24,27)(H,25,35)(H,28,29)(H,30,31)(H,32,33)/t11-/m1/s1	WWYYCLZFMHNKIS-LLVKDONJSA-N	
figqA@JQKtD`bPRZyUeUV}xToICEhzjZ`@@BB@@@@	InChI=1S/C19H15F2N3O/c20-19(21,17-7-13-10-23-18(22)8-15(13)24-17)9-11-4-5-14-12(6-11)2-1-3-16(14)25/h1-8,10,24-25H,9H2,(H2,22,23)	CIKFXQBNKVMHLV-UHFFFAOYSA-N	
fdiA@@@YHihheKeEnRhBHijXPqVbMOd	InChI=1S/C17H24O/c1-6-8-13(2)11-12-14(3)16-10-7-9-15(4)17(16)18-5/h6-14H,1-5H3/b8-6-,12-11?/t13-,14+/m1/s1	WDBHWOCDNYGAGI-JDBVWNOZSA-N	
fikA`@@JCdTTRaTQbRrbRsNM{@PUTuT@DDARAd	InChI=1S/C22H28O3/c1-15-7-9-18(10-8-15)5-4-6-19(14-23)13-20-11-12-21(25)16(2)22(20)17(3)24/h6-12,17,23-25H,4-5,13-14H2,1-3H3/t17-/m0/s1	ZMDNFOQOSULILQ-KRWDZBQOSA-N	
fmwQR@NRtWlu`bLbbbTTJLTRbbTlXKbhy`HbZ@bFfX`@@	InChI=1S/C19H15ClN2O5/c1-8(23)11-5-10(19(26)27)6-13(16(11)9(2)24)22-14-7-21-18-15(25)4-3-12(20)17(14)18/h3-7,21-22,25H,1-2H3,(H,26,27)	QMAFCCWUKPRNOD-UHFFFAOYSA-N	
feg`P@I`QDnQSQQQQIJFGKQHVc^\ej`XbbjjfbIbVRYU@@	InChI=1S/C21H27NO4/c1-2-12(11-22)6-7-13-4-3-5-14-16(13)10-17-15(19(14)21(25)26)8-9-18(23)20(17)24/h2-5,12,18-20,23-24H,1,6-11,22H2,(H,25,26)/t12-,18-,19-,20-/m0/s1	HLICXJOYCRRZJW-OGZZGNLCSA-N	
fncAP@@HlVnQQJIIJXjJIQRuekTDDUA@p@@@	InChI=1S/C18H18O5/c1-13-6-4-7-14(12-13)18(21)23-11-5-10-22-16-9-3-2-8-15(16)17(19)20/h2-4,6-9,12H,5,10-11H2,1H3,(H,19,20)	VJOPDCVRIOABAU-UHFFFAOYSA-N	
fjm@P@@HyiIn^ye^um{IVfjBB@@BCICD@	InChI=1S/C17H16O4/c1-12(17(19)20)11-15(18)14-9-5-6-10-16(14)21-13-7-3-2-4-8-13/h2-11,15,18H,1H3,(H,19,20)/t15-/m1/s1	SLVPWSPSBRIJFY-OAHLLOKOSA-N	
ffcab@BJuTDQdTTRTRbRLQrXJQgAjA@hBJj`aB@@	InChI=1S/C17H18ClNO3/c1-9-6-10(4-3-5-20)15-13(22-2)8-12(18)17-16(15)11(9)7-14(21)19-17/h6-8,12,20H,3-5H2,1-2H3,(H,19,21)/t12-/m1/s1	HQMKHRSJVYVBEF-GFCCVEGCSA-N	
e`RXLD@A`dl`IABPrJSQQQQQJJIJJZ{IZQ^]U[SGWOUP@P@PpADEP@`@@	InChI=1S/C26H19F2NO3/c1-2-32-20-14-17-6-3-4-8-18(17)23(22(20)25(30)31)26(27,28)19-9-5-7-15-10-11-16-12-13-29-24(16)21(15)19/h3-14,29H,2H2,1H3,(H,30,31)	FDHPIGQFGWBWQQ-UHFFFAOYSA-N	
eg`TJ@@DK@CLjilbbTTTRbbbVtTjVNdSaRWST@@PPDTUM@P^JAY@	InChI=1S/C23H24N2O5/c1-4-7-19(30-3)18-12-20(27)24-23(29)21(18)25-22(28)17-11-14(26)10-16-13(5-2)8-6-9-15(16)17/h4,6-12,19,26H,5H2,1-3H3,(H,25,28)(H2,24,27,29)/t19-/m1/s1	ALIHQEURMMYXQO-LJQANCHMSA-N	
edRTI@@L@`DFACKg`X\bbRbffbbrVbtRRtqc`VSTvsULttE@@QDttDDb@@	InChI=1S/C23H20N2O9/c26-18(10-13-4-2-1-3-12(13)6-8-19(27)28)20(29)25-23(33)34-22(32)16-11-24-17-9-14(21(30)31)5-7-15(16)17/h1-5,7,9,11,18,24,26H,6,8,10H2,(H,27,28)(H,30,31)(H,25,29,33)/t18-/m1/s1	LVVBKNPSSBRAKJ-GOSISDBHSA-N	
